id,rule,state,puzzle,question,option_A,option_B,option_C,option_D,correct_option,correct_answer,params
game24_baseline_0001,game24_baseline,baseline,"{""numbers"": [11, 2, 1, 12], ""target"": 24}","Solve the following Game of 24 puzzle.
Rules:
  - You are given four positive integers.
  - Use each number exactly once.
  - Combine them with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer.
  - The expression must evaluate to 24.

Numbers: 11, 2, 1, 12
Which expression — using each number exactly once — reaches 24?",((11 + 2) − (1 + 12)),((11 − 2) − (1 − 12)),((11 × 2) − (1 − 12)),((11 + 2) − (1 − 12)),D,((11 + 2) − (1 − 12)),"{""numbers"": [11, 2, 1, 12], ""target"": 24}"
game24_baseline_0002,game24_baseline,baseline,"{""numbers"": [1, 9, 4, 12], ""target"": 24}","Solve the following Game of 24 puzzle.
Rules:
  - You are given four positive integers.
  - Use each number exactly once.
  - Combine them with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer.
  - The expression must evaluate to 24.

Numbers: 1, 9, 4, 12
Which expression — using each number exactly once — reaches 24?",((4 + 12) − (1 − 9)),((4 + 12) ÷ (1 − 9)),((4 + 12) − (1 + 9)),((4 × 12) − (1 − 9)),A,((4 + 12) − (1 − 9)),"{""numbers"": [1, 9, 4, 12], ""target"": 24}"
game24_baseline_0003,game24_baseline,baseline,"{""numbers"": [3, 4, 13, 6], ""target"": 24}","Solve the following Game of 24 puzzle.
Rules:
  - You are given four positive integers.
  - Use each number exactly once.
  - Combine them with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer.
  - The expression must evaluate to 24.

Numbers: 3, 4, 13, 6
Which expression — using each number exactly once — reaches 24?",(6 − ((3 + 13) ÷ 4)),(6 × ((3 + 13) + 4)),(6 × ((3 + 13) × 4)),(6 × ((3 + 13) ÷ 4)),D,(6 × ((3 + 13) ÷ 4)),"{""numbers"": [3, 4, 13, 6], ""target"": 24}"
game24_baseline_0004,game24_baseline,baseline,"{""numbers"": [9, 5, 11, 10], ""target"": 24}","Solve the following Game of 24 puzzle.
Rules:
  - You are given four positive integers.
  - Use each number exactly once.
  - Combine them with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer.
  - The expression must evaluate to 24.

Numbers: 9, 5, 11, 10
Which expression — using each number exactly once — reaches 24?",((9 × 5) + (11 + 10)),((9 × 5) − (11 × 10)),((9 × 5) − (11 + 10)),((9 − 5) − (11 + 10)),C,((9 × 5) − (11 + 10)),"{""numbers"": [9, 5, 11, 10], ""target"": 24}"
game24_baseline_0005,game24_baseline,baseline,"{""numbers"": [3, 6, 6, 4], ""target"": 24}","Solve the following Game of 24 puzzle.
Rules:
  - You are given four positive integers.
  - Use each number exactly once.
  - Combine them with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer.
  - The expression must evaluate to 24.

Numbers: 3, 6, 6, 4
Which expression — using each number exactly once — reaches 24?",((3 × 4) × (6 + 6)),((3 × 4) + (6 + 6)),((3 − 4) + (6 + 6)),((3 + 4) + (6 + 6)),B,((3 × 4) + (6 + 6)),"{""numbers"": [3, 6, 6, 4], ""target"": 24}"
game24_baseline_0006,game24_baseline,baseline,"{""numbers"": [6, 7, 5, 2], ""target"": 24}","Solve the following Game of 24 puzzle.
Rules:
  - You are given four positive integers.
  - Use each number exactly once.
  - Combine them with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer.
  - The expression must evaluate to 24.

Numbers: 6, 7, 5, 2
Which expression — using each number exactly once — reaches 24?",((6 × 2) + (7 × 5)),((6 × 2) + (7 + 5)),((6 − 2) + (7 + 5)),((6 + 2) + (7 + 5)),B,((6 × 2) + (7 + 5)),"{""numbers"": [6, 7, 5, 2], ""target"": 24}"
game24_baseline_0007,game24_baseline,baseline,"{""numbers"": [4, 12, 9, 9], ""target"": 24}","Solve the following Game of 24 puzzle.
Rules:
  - You are given four positive integers.
  - Use each number exactly once.
  - Combine them with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer.
  - The expression must evaluate to 24.

Numbers: 4, 12, 9, 9
Which expression — using each number exactly once — reaches 24?",(4 × (9 − (12 + 9))),(4 × (9 ÷ (12 − 9))),(4 + (9 − (12 − 9))),(4 × (9 − (12 − 9))),D,(4 × (9 − (12 − 9))),"{""numbers"": [4, 12, 9, 9], ""target"": 24}"
game24_baseline_0008,game24_baseline,baseline,"{""numbers"": [3, 11, 3, 13], ""target"": 24}","Solve the following Game of 24 puzzle.
Rules:
  - You are given four positive integers.
  - Use each number exactly once.
  - Combine them with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer.
  - The expression must evaluate to 24.

Numbers: 3, 11, 3, 13
Which expression — using each number exactly once — reaches 24?",((3 × 11) − (3 − 13)),((3 − 11) − (3 − 13)),((3 + 11) − (3 + 13)),((3 + 11) − (3 − 13)),D,((3 + 11) − (3 − 13)),"{""numbers"": [3, 11, 3, 13], ""target"": 24}"
game24_baseline_0009,game24_baseline,baseline,"{""numbers"": [11, 9, 13, 5], ""target"": 24}","Solve the following Game of 24 puzzle.
Rules:
  - You are given four positive integers.
  - Use each number exactly once.
  - Combine them with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer.
  - The expression must evaluate to 24.

Numbers: 11, 9, 13, 5
Which expression — using each number exactly once — reaches 24?",((11 − 5) × (13 + 9)),((11 − 5) × (13 − 9)),((11 × 5) × (13 − 9)),((11 − 5) × (13 × 9)),B,((11 − 5) × (13 − 9)),"{""numbers"": [11, 9, 13, 5], ""target"": 24}"
game24_baseline_0010,game24_baseline,baseline,"{""numbers"": [10, 4, 3, 6], ""target"": 24}","Solve the following Game of 24 puzzle.
Rules:
  - You are given four positive integers.
  - Use each number exactly once.
  - Combine them with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer.
  - The expression must evaluate to 24.

Numbers: 10, 4, 3, 6
Which expression — using each number exactly once — reaches 24?",(3 × ((10 − 4) − 6)),(3 × ((10 + 4) + 6)),(3 × ((10 + 4) − 6)),(3 × ((10 + 4) × 6)),C,(3 × ((10 + 4) − 6)),"{""numbers"": [10, 4, 3, 6], ""target"": 24}"
game24_baseline_0011,game24_baseline,baseline,"{""numbers"": [4, 10, 2, 2], ""target"": 24}","Solve the following Game of 24 puzzle.
Rules:
  - You are given four positive integers.
  - Use each number exactly once.
  - Combine them with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer.
  - The expression must evaluate to 24.

Numbers: 4, 10, 2, 2
Which expression — using each number exactly once — reaches 24?",(2 × ((4 + 10) − 2)),(2 × ((4 × 10) − 2)),(2 − ((4 + 10) − 2)),(2 + ((4 + 10) − 2)),A,(2 × ((4 + 10) − 2)),"{""numbers"": [4, 10, 2, 2], ""target"": 24}"
game24_baseline_0012,game24_baseline,baseline,"{""numbers"": [12, 4, 12, 5], ""target"": 24}","Solve the following Game of 24 puzzle.
Rules:
  - You are given four positive integers.
  - Use each number exactly once.
  - Combine them with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer.
  - The expression must evaluate to 24.

Numbers: 12, 4, 12, 5
Which expression — using each number exactly once — reaches 24?",(12 − (5 − (12 ÷ 4))),(12 × (5 − (12 + 4))),(12 ÷ (5 − (12 ÷ 4))),(12 × (5 − (12 ÷ 4))),D,(12 × (5 − (12 ÷ 4))),"{""numbers"": [12, 4, 12, 5], ""target"": 24}"
game24_baseline_0013,game24_baseline,baseline,"{""numbers"": [4, 1, 2, 12], ""target"": 24}","Solve the following Game of 24 puzzle.
Rules:
  - You are given four positive integers.
  - Use each number exactly once.
  - Combine them with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer.
  - The expression must evaluate to 24.

Numbers: 4, 1, 2, 12
Which expression — using each number exactly once — reaches 24?",((4 × 1) × (12 ÷ 2)),((4 × 1) × (12 + 2)),((4 − 1) × (12 ÷ 2)),((4 × 1) − (12 ÷ 2)),A,((4 × 1) × (12 ÷ 2)),"{""numbers"": [4, 1, 2, 12], ""target"": 24}"
game24_baseline_0014,game24_baseline,baseline,"{""numbers"": [4, 9, 3, 12], ""target"": 24}","Solve the following Game of 24 puzzle.
Rules:
  - You are given four positive integers.
  - Use each number exactly once.
  - Combine them with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer.
  - The expression must evaluate to 24.

Numbers: 4, 9, 3, 12
Which expression — using each number exactly once — reaches 24?",(12 × ((9 − 4) − 3)),(12 − ((9 − 4) − 3)),(12 × ((9 + 4) − 3)),(12 + ((9 − 4) − 3)),A,(12 × ((9 − 4) − 3)),"{""numbers"": [4, 9, 3, 12], ""target"": 24}"
game24_baseline_0015,game24_baseline,baseline,"{""numbers"": [7, 8, 12, 1], ""target"": 24}","Solve the following Game of 24 puzzle.
Rules:
  - You are given four positive integers.
  - Use each number exactly once.
  - Combine them with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer.
  - The expression must evaluate to 24.

Numbers: 7, 8, 12, 1
Which expression — using each number exactly once — reaches 24?",(12 × (1 − (7 − 8))),(12 × (1 − (7 + 8))),(12 × (1 − (7 × 8))),(12 × (1 + (7 − 8))),A,(12 × (1 − (7 − 8))),"{""numbers"": [7, 8, 12, 1], ""target"": 24}"
game24_baseline_0016,game24_baseline,baseline,"{""numbers"": [3, 7, 3, 5], ""target"": 24}","Solve the following Game of 24 puzzle.
Rules:
  - You are given four positive integers.
  - Use each number exactly once.
  - Combine them with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer.
  - The expression must evaluate to 24.

Numbers: 3, 7, 3, 5
Which expression — using each number exactly once — reaches 24?",(3 − ((3 × 5) − 7)),(3 × ((3 − 5) − 7)),(3 + ((3 × 5) − 7)),(3 × ((3 × 5) − 7)),D,(3 × ((3 × 5) − 7)),"{""numbers"": [3, 7, 3, 5], ""target"": 24}"
game24_baseline_0017,game24_baseline,baseline,"{""numbers"": [7, 8, 8, 4], ""target"": 24}","Solve the following Game of 24 puzzle.
Rules:
  - You are given four positive integers.
  - Use each number exactly once.
  - Combine them with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer.
  - The expression must evaluate to 24.

Numbers: 7, 8, 8, 4
Which expression — using each number exactly once — reaches 24?",(8 × (4 + (7 − 8))),(8 × (4 − (7 − 8))),(8 × (4 ÷ (7 − 8))),(8 − (4 + (7 − 8))),A,(8 × (4 + (7 − 8))),"{""numbers"": [7, 8, 8, 4], ""target"": 24}"
game24_baseline_0018,game24_baseline,baseline,"{""numbers"": [3, 4, 5, 4], ""target"": 24}","Solve the following Game of 24 puzzle.
Rules:
  - You are given four positive integers.
  - Use each number exactly once.
  - Combine them with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer.
  - The expression must evaluate to 24.

Numbers: 3, 4, 5, 4
Which expression — using each number exactly once — reaches 24?",(4 × (5 + (3 − 4))),(4 × (5 − (3 × 4))),(4 × (5 − (3 − 4))),(4 × (5 × (3 − 4))),C,(4 × (5 − (3 − 4))),"{""numbers"": [3, 4, 5, 4], ""target"": 24}"
