id,rule,state,puzzle,question,correct_answer,params
entropy_jugs_cf1_gcd_breaker_0001,entropy_jugs_cf1_gcd_breaker,counterfactual,"{""capacities"": [9, 9], ""target"": 2, ""start"": [0, 0]}","You are playing Entropy Jugs — a variant of the classic Water Jug puzzle.
Rules — allowed moves:
  - Fill a jug from the tap (fills it to full capacity).
  - Empty a jug (drains it completely to 0).
  - Pour from one jug to the other — with a 1-unit EVAPORATION TAX:
      Amount removed from source jug = min(Source, TargetSpace + 1)
      Amount added to target jug     = max(0, AmountRemoved - 1)
    Example: pouring 4 units removes 4 from source but delivers only 3 to target.
Goal: reach the exact target volume in either jug using the fewest moves.

Puzzle: Jug A capacity: 9L | Jug B capacity: 9L | Starting state: [0, 0] | Target: 2L in either jug
(Note: gcd(9, 9) = 9, so 2 is unreachable under standard rules — the tax changes what is possible.)","[[0, 0], [9, 0], [0, 8], [7, 0], [0, 6], [5, 0], [0, 4], [3, 0], [0, 2]]","{""cap1"": 9, ""cap2"": 9, ""target"": 2, ""gcd"": 9, ""taxed"": true, ""category"": ""gcd_breaker"", ""taxed_path_length"": 9, ""near_target"": null, ""has_classic_near_distractor"": false}"
entropy_jugs_cf1_gcd_breaker_0002,entropy_jugs_cf1_gcd_breaker,counterfactual,"{""capacities"": [4, 10], ""target"": 3, ""start"": [0, 0]}","You are playing Entropy Jugs — a variant of the classic Water Jug puzzle.
Rules — allowed moves:
  - Fill a jug from the tap (fills it to full capacity).
  - Empty a jug (drains it completely to 0).
  - Pour from one jug to the other — with a 1-unit EVAPORATION TAX:
      Amount removed from source jug = min(Source, TargetSpace + 1)
      Amount added to target jug     = max(0, AmountRemoved - 1)
    Example: pouring 4 units removes 4 from source but delivers only 3 to target.
Goal: reach the exact target volume in either jug using the fewest moves.

Puzzle: Jug A capacity: 4L | Jug B capacity: 10L | Starting state: [0, 0] | Target: 3L in either jug
(Note: gcd(4, 10) = 2, so 3 is unreachable under standard rules — the tax changes what is possible.)","[[0, 0], [4, 0], [0, 3]]","{""cap1"": 4, ""cap2"": 10, ""target"": 3, ""gcd"": 2, ""taxed"": true, ""category"": ""gcd_breaker"", ""taxed_path_length"": 3, ""near_target"": 2, ""has_classic_near_distractor"": true}"
entropy_jugs_cf1_gcd_breaker_0003,entropy_jugs_cf1_gcd_breaker,counterfactual,"{""capacities"": [9, 12], ""target"": 2, ""start"": [0, 0]}","You are playing Entropy Jugs — a variant of the classic Water Jug puzzle.
Rules — allowed moves:
  - Fill a jug from the tap (fills it to full capacity).
  - Empty a jug (drains it completely to 0).
  - Pour from one jug to the other — with a 1-unit EVAPORATION TAX:
      Amount removed from source jug = min(Source, TargetSpace + 1)
      Amount added to target jug     = max(0, AmountRemoved - 1)
    Example: pouring 4 units removes 4 from source but delivers only 3 to target.
Goal: reach the exact target volume in either jug using the fewest moves.

Puzzle: Jug A capacity: 9L | Jug B capacity: 12L | Starting state: [0, 0] | Target: 2L in either jug
(Note: gcd(9, 12) = 3, so 2 is unreachable under standard rules — the tax changes what is possible.)","[[0, 0], [0, 12], [9, 2]]","{""cap1"": 9, ""cap2"": 12, ""target"": 2, ""gcd"": 3, ""taxed"": true, ""category"": ""gcd_breaker"", ""taxed_path_length"": 3, ""near_target"": 3, ""has_classic_near_distractor"": true}"
entropy_jugs_cf1_gcd_breaker_0004,entropy_jugs_cf1_gcd_breaker,counterfactual,"{""capacities"": [3, 9], ""target"": 2, ""start"": [0, 0]}","You are playing Entropy Jugs — a variant of the classic Water Jug puzzle.
Rules — allowed moves:
  - Fill a jug from the tap (fills it to full capacity).
  - Empty a jug (drains it completely to 0).
  - Pour from one jug to the other — with a 1-unit EVAPORATION TAX:
      Amount removed from source jug = min(Source, TargetSpace + 1)
      Amount added to target jug     = max(0, AmountRemoved - 1)
    Example: pouring 4 units removes 4 from source but delivers only 3 to target.
Goal: reach the exact target volume in either jug using the fewest moves.

Puzzle: Jug A capacity: 3L | Jug B capacity: 9L | Starting state: [0, 0] | Target: 2L in either jug
(Note: gcd(3, 9) = 3, so 2 is unreachable under standard rules — the tax changes what is possible.)","[[0, 0], [3, 0], [0, 2]]","{""cap1"": 3, ""cap2"": 9, ""target"": 2, ""gcd"": 3, ""taxed"": true, ""category"": ""gcd_breaker"", ""taxed_path_length"": 3, ""near_target"": 3, ""has_classic_near_distractor"": true}"
entropy_jugs_cf1_gcd_breaker_0005,entropy_jugs_cf1_gcd_breaker,counterfactual,"{""capacities"": [8, 8], ""target"": 2, ""start"": [0, 0]}","You are playing Entropy Jugs — a variant of the classic Water Jug puzzle.
Rules — allowed moves:
  - Fill a jug from the tap (fills it to full capacity).
  - Empty a jug (drains it completely to 0).
  - Pour from one jug to the other — with a 1-unit EVAPORATION TAX:
      Amount removed from source jug = min(Source, TargetSpace + 1)
      Amount added to target jug     = max(0, AmountRemoved - 1)
    Example: pouring 4 units removes 4 from source but delivers only 3 to target.
Goal: reach the exact target volume in either jug using the fewest moves.

Puzzle: Jug A capacity: 8L | Jug B capacity: 8L | Starting state: [0, 0] | Target: 2L in either jug
(Note: gcd(8, 8) = 8, so 2 is unreachable under standard rules — the tax changes what is possible.)","[[0, 0], [8, 0], [0, 7], [6, 0], [0, 5], [4, 0], [0, 3], [2, 0]]","{""cap1"": 8, ""cap2"": 8, ""target"": 2, ""gcd"": 8, ""taxed"": true, ""category"": ""gcd_breaker"", ""taxed_path_length"": 8, ""near_target"": null, ""has_classic_near_distractor"": false}"
entropy_jugs_cf1_gcd_breaker_0006,entropy_jugs_cf1_gcd_breaker,counterfactual,"{""capacities"": [8, 10], ""target"": 5, ""start"": [0, 0]}","You are playing Entropy Jugs — a variant of the classic Water Jug puzzle.
Rules — allowed moves:
  - Fill a jug from the tap (fills it to full capacity).
  - Empty a jug (drains it completely to 0).
  - Pour from one jug to the other — with a 1-unit EVAPORATION TAX:
      Amount removed from source jug = min(Source, TargetSpace + 1)
      Amount added to target jug     = max(0, AmountRemoved - 1)
    Example: pouring 4 units removes 4 from source but delivers only 3 to target.
Goal: reach the exact target volume in either jug using the fewest moves.

Puzzle: Jug A capacity: 8L | Jug B capacity: 10L | Starting state: [0, 0] | Target: 5L in either jug
(Note: gcd(8, 10) = 2, so 5 is unreachable under standard rules — the tax changes what is possible.)","[[0, 0], [8, 0], [0, 7], [6, 0], [0, 5]]","{""cap1"": 8, ""cap2"": 10, ""target"": 5, ""gcd"": 2, ""taxed"": true, ""category"": ""gcd_breaker"", ""taxed_path_length"": 5, ""near_target"": 4, ""has_classic_near_distractor"": true}"
entropy_jugs_cf1_gcd_breaker_0007,entropy_jugs_cf1_gcd_breaker,counterfactual,"{""capacities"": [5, 10], ""target"": 6, ""start"": [0, 0]}","You are playing Entropy Jugs — a variant of the classic Water Jug puzzle.
Rules — allowed moves:
  - Fill a jug from the tap (fills it to full capacity).
  - Empty a jug (drains it completely to 0).
  - Pour from one jug to the other — with a 1-unit EVAPORATION TAX:
      Amount removed from source jug = min(Source, TargetSpace + 1)
      Amount added to target jug     = max(0, AmountRemoved - 1)
    Example: pouring 4 units removes 4 from source but delivers only 3 to target.
Goal: reach the exact target volume in either jug using the fewest moves.

Puzzle: Jug A capacity: 5L | Jug B capacity: 10L | Starting state: [0, 0] | Target: 6L in either jug
(Note: gcd(5, 10) = 5, so 6 is unreachable under standard rules — the tax changes what is possible.)","[[0, 0], [0, 10], [5, 4], [0, 8], [5, 2], [0, 6]]","{""cap1"": 5, ""cap2"": 10, ""target"": 6, ""gcd"": 5, ""taxed"": true, ""category"": ""gcd_breaker"", ""taxed_path_length"": 6, ""near_target"": 5, ""has_classic_near_distractor"": true}"
entropy_jugs_cf1_gcd_breaker_0008,entropy_jugs_cf1_gcd_breaker,counterfactual,"{""capacities"": [3, 12], ""target"": 2, ""start"": [0, 0]}","You are playing Entropy Jugs — a variant of the classic Water Jug puzzle.
Rules — allowed moves:
  - Fill a jug from the tap (fills it to full capacity).
  - Empty a jug (drains it completely to 0).
  - Pour from one jug to the other — with a 1-unit EVAPORATION TAX:
      Amount removed from source jug = min(Source, TargetSpace + 1)
      Amount added to target jug     = max(0, AmountRemoved - 1)
    Example: pouring 4 units removes 4 from source but delivers only 3 to target.
Goal: reach the exact target volume in either jug using the fewest moves.

Puzzle: Jug A capacity: 3L | Jug B capacity: 12L | Starting state: [0, 0] | Target: 2L in either jug
(Note: gcd(3, 12) = 3, so 2 is unreachable under standard rules — the tax changes what is possible.)","[[0, 0], [3, 0], [0, 2]]","{""cap1"": 3, ""cap2"": 12, ""target"": 2, ""gcd"": 3, ""taxed"": true, ""category"": ""gcd_breaker"", ""taxed_path_length"": 3, ""near_target"": 3, ""has_classic_near_distractor"": true}"
entropy_jugs_cf1_gcd_breaker_0009,entropy_jugs_cf1_gcd_breaker,counterfactual,"{""capacities"": [6, 6], ""target"": 5, ""start"": [0, 0]}","You are playing Entropy Jugs — a variant of the classic Water Jug puzzle.
Rules — allowed moves:
  - Fill a jug from the tap (fills it to full capacity).
  - Empty a jug (drains it completely to 0).
  - Pour from one jug to the other — with a 1-unit EVAPORATION TAX:
      Amount removed from source jug = min(Source, TargetSpace + 1)
      Amount added to target jug     = max(0, AmountRemoved - 1)
    Example: pouring 4 units removes 4 from source but delivers only 3 to target.
Goal: reach the exact target volume in either jug using the fewest moves.

Puzzle: Jug A capacity: 6L | Jug B capacity: 6L | Starting state: [0, 0] | Target: 5L in either jug
(Note: gcd(6, 6) = 6, so 5 is unreachable under standard rules — the tax changes what is possible.)","[[0, 0], [6, 0], [0, 5]]","{""cap1"": 6, ""cap2"": 6, ""target"": 5, ""gcd"": 6, ""taxed"": true, ""category"": ""gcd_breaker"", ""taxed_path_length"": 3, ""near_target"": null, ""has_classic_near_distractor"": false}"
entropy_jugs_cf1_gcd_breaker_0010,entropy_jugs_cf1_gcd_breaker,counterfactual,"{""capacities"": [8, 8], ""target"": 1, ""start"": [0, 0]}","You are playing Entropy Jugs — a variant of the classic Water Jug puzzle.
Rules — allowed moves:
  - Fill a jug from the tap (fills it to full capacity).
  - Empty a jug (drains it completely to 0).
  - Pour from one jug to the other — with a 1-unit EVAPORATION TAX:
      Amount removed from source jug = min(Source, TargetSpace + 1)
      Amount added to target jug     = max(0, AmountRemoved - 1)
    Example: pouring 4 units removes 4 from source but delivers only 3 to target.
Goal: reach the exact target volume in either jug using the fewest moves.

Puzzle: Jug A capacity: 8L | Jug B capacity: 8L | Starting state: [0, 0] | Target: 1L in either jug
(Note: gcd(8, 8) = 8, so 1 is unreachable under standard rules — the tax changes what is possible.)","[[0, 0], [8, 0], [0, 7], [6, 0], [0, 5], [4, 0], [0, 3], [2, 0], [0, 1]]","{""cap1"": 8, ""cap2"": 8, ""target"": 1, ""gcd"": 8, ""taxed"": true, ""category"": ""gcd_breaker"", ""taxed_path_length"": 9, ""near_target"": null, ""has_classic_near_distractor"": false}"
