id,rule,state,puzzle,question,option_A,option_B,option_C,option_D,correct_option,correct_answer,params
cryptarithmetic_cf2_base9_sub_0001,cryptarithmetic_cf2_base9_sub,counterfactual,EAAB - CC = DFCD,"Solve the following cryptarithmetic subtraction puzzle in Base 9 (Nonary arithmetic).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8}.  The digit 9 does not exist.
  - Each letter represents a unique digit from this set.
  - No multi-letter word may begin with 0.
  - When borrowing is needed, the 'Add 9' rule applies: the current digit gains 9 (not 10) and 1 is borrowed from the column to the left.
  - Example: to compute 3 − 6, borrow 1 from the left; 3 becomes 3 + 9 = 12, then 12 − 6 = 6.

Equation:  EAAB - CC = DFCD

Provide the unique letter-to-digit assignment as a JSON object.",,,,,,"{""A"": 0, ""B"": 1, ""C"": 4, ""D"": 6, ""E"": 7, ""F"": 8}","{""base"": 9, ""num_letters"": 6, ""equation"": ""EAAB - CC = DFCD"", ""eval_mode"": ""open_native_base9""}"
cryptarithmetic_cf2_base9_sub_0002,cryptarithmetic_cf2_base9_sub,counterfactual,EACF - DB = DFEE,"Solve the following cryptarithmetic subtraction puzzle in Base 9 (Nonary arithmetic).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8}.  The digit 9 does not exist.
  - Each letter represents a unique digit from this set.
  - No multi-letter word may begin with 0.
  - When borrowing is needed, the 'Add 9' rule applies: the current digit gains 9 (not 10) and 1 is borrowed from the column to the left.
  - Example: to compute 3 − 6, borrow 1 from the left; 3 becomes 3 + 9 = 12, then 12 − 6 = 6.

Equation:  EACF - DB = DFEE

Provide the unique letter-to-digit assignment as a JSON object.",,,,,,"{""A"": 0, ""B"": 1, ""C"": 4, ""D"": 6, ""E"": 7, ""F"": 8}","{""base"": 9, ""num_letters"": 6, ""equation"": ""EACF - DB = DFEE"", ""eval_mode"": ""open_native_base9""}"
cryptarithmetic_cf2_base9_sub_0003,cryptarithmetic_cf2_base9_sub,counterfactual,BDCB - FEF = AEED,"Solve the following cryptarithmetic subtraction puzzle in Base 9 (Nonary arithmetic).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8}.  The digit 9 does not exist.
  - Each letter represents a unique digit from this set.
  - No multi-letter word may begin with 0.
  - When borrowing is needed, the 'Add 9' rule applies: the current digit gains 9 (not 10) and 1 is borrowed from the column to the left.
  - Example: to compute 3 − 6, borrow 1 from the left; 3 becomes 3 + 9 = 12, then 12 − 6 = 6.

Equation:  BDCB - FEF = AEED

Provide the unique letter-to-digit assignment as a JSON object.",,,,,,"{""A"": 2, ""B"": 3, ""C"": 4, ""D"": 5, ""E"": 6, ""F"": 7}","{""base"": 9, ""num_letters"": 6, ""equation"": ""BDCB - FEF = AEED"", ""eval_mode"": ""open_native_base9""}"
cryptarithmetic_cf2_base9_sub_0004,cryptarithmetic_cf2_base9_sub,counterfactual,DABD - CE = CFEE,"Solve the following cryptarithmetic subtraction puzzle in Base 9 (Nonary arithmetic).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8}.  The digit 9 does not exist.
  - Each letter represents a unique digit from this set.
  - No multi-letter word may begin with 0.
  - When borrowing is needed, the 'Add 9' rule applies: the current digit gains 9 (not 10) and 1 is borrowed from the column to the left.
  - Example: to compute 3 − 6, borrow 1 from the left; 3 becomes 3 + 9 = 12, then 12 − 6 = 6.

Equation:  DABD - CE = CFEE

Provide the unique letter-to-digit assignment as a JSON object.",,,,,,"{""A"": 0, ""B"": 3, ""C"": 4, ""D"": 5, ""E"": 7, ""F"": 8}","{""base"": 9, ""num_letters"": 6, ""equation"": ""DABD - CE = CFEE"", ""eval_mode"": ""open_native_base9""}"
cryptarithmetic_cf2_base9_sub_0005,cryptarithmetic_cf2_base9_sub,counterfactual,DADA - EB = CFEC,"Solve the following cryptarithmetic subtraction puzzle in Base 9 (Nonary arithmetic).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8}.  The digit 9 does not exist.
  - Each letter represents a unique digit from this set.
  - No multi-letter word may begin with 0.
  - When borrowing is needed, the 'Add 9' rule applies: the current digit gains 9 (not 10) and 1 is borrowed from the column to the left.
  - Example: to compute 3 − 6, borrow 1 from the left; 3 becomes 3 + 9 = 12, then 12 − 6 = 6.

Equation:  DADA - EB = CFEC

Provide the unique letter-to-digit assignment as a JSON object.",,,,,,"{""A"": 0, ""B"": 4, ""C"": 5, ""D"": 6, ""E"": 7, ""F"": 8}","{""base"": 9, ""num_letters"": 6, ""equation"": ""DADA - EB = CFEC"", ""eval_mode"": ""open_native_base9""}"
cryptarithmetic_cf2_base9_sub_0006,cryptarithmetic_cf2_base9_sub,counterfactual,CABD - EF = BFEE,"Solve the following cryptarithmetic subtraction puzzle in Base 9 (Nonary arithmetic).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8}.  The digit 9 does not exist.
  - Each letter represents a unique digit from this set.
  - No multi-letter word may begin with 0.
  - When borrowing is needed, the 'Add 9' rule applies: the current digit gains 9 (not 10) and 1 is borrowed from the column to the left.
  - Example: to compute 3 − 6, borrow 1 from the left; 3 becomes 3 + 9 = 12, then 12 − 6 = 6.

Equation:  CABD - EF = BFEE

Provide the unique letter-to-digit assignment as a JSON object.",,,,,,"{""A"": 0, ""B"": 2, ""C"": 3, ""D"": 4, ""E"": 5, ""F"": 8}","{""base"": 9, ""num_letters"": 6, ""equation"": ""CABD - EF = BFEE"", ""eval_mode"": ""open_native_base9""}"
cryptarithmetic_cf2_base9_sub_0007,cryptarithmetic_cf2_base9_sub,counterfactual,FABCB - DEE = EGEFE,"Solve the following cryptarithmetic subtraction puzzle in Base 9 (Nonary arithmetic).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8}.  The digit 9 does not exist.
  - Each letter represents a unique digit from this set.
  - No multi-letter word may begin with 0.
  - When borrowing is needed, the 'Add 9' rule applies: the current digit gains 9 (not 10) and 1 is borrowed from the column to the left.
  - Example: to compute 3 − 6, borrow 1 from the left; 3 becomes 3 + 9 = 12, then 12 − 6 = 6.

Equation:  FABCB - DEE = EGEFE

Provide the unique letter-to-digit assignment as a JSON object.",,,,,,"{""A"": 0, ""B"": 1, ""C"": 3, ""D"": 4, ""E"": 5, ""F"": 6, ""G"": 8}","{""base"": 9, ""num_letters"": 7, ""equation"": ""FABCB - DEE = EGEFE"", ""eval_mode"": ""open_native_base9""}"
cryptarithmetic_cf2_base9_sub_0008,cryptarithmetic_cf2_base9_sub,counterfactual,DCAB - FBA = CCEA,"Solve the following cryptarithmetic subtraction puzzle in Base 9 (Nonary arithmetic).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8}.  The digit 9 does not exist.
  - Each letter represents a unique digit from this set.
  - No multi-letter word may begin with 0.
  - When borrowing is needed, the 'Add 9' rule applies: the current digit gains 9 (not 10) and 1 is borrowed from the column to the left.
  - Example: to compute 3 − 6, borrow 1 from the left; 3 becomes 3 + 9 = 12, then 12 − 6 = 6.

Equation:  DCAB - FBA = CCEA

Provide the unique letter-to-digit assignment as a JSON object.",,,,,,"{""A"": 2, ""B"": 4, ""C"": 5, ""D"": 6, ""E"": 7, ""F"": 8}","{""base"": 9, ""num_letters"": 6, ""equation"": ""DCAB - FBA = CCEA"", ""eval_mode"": ""open_native_base9""}"
cryptarithmetic_cf2_base9_sub_0009,cryptarithmetic_cf2_base9_sub,counterfactual,BECBF - FAD = BDEAC,"Solve the following cryptarithmetic subtraction puzzle in Base 9 (Nonary arithmetic).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8}.  The digit 9 does not exist.
  - Each letter represents a unique digit from this set.
  - No multi-letter word may begin with 0.
  - When borrowing is needed, the 'Add 9' rule applies: the current digit gains 9 (not 10) and 1 is borrowed from the column to the left.
  - Example: to compute 3 − 6, borrow 1 from the left; 3 becomes 3 + 9 = 12, then 12 − 6 = 6.

Equation:  BECBF - FAD = BDEAC

Provide the unique letter-to-digit assignment as a JSON object.",,,,,,"{""A"": 1, ""B"": 2, ""C"": 3, ""D"": 4, ""E"": 5, ""F"": 7}","{""base"": 9, ""num_letters"": 6, ""equation"": ""BECBF - FAD = BDEAC"", ""eval_mode"": ""open_native_base9""}"
cryptarithmetic_cf2_base9_sub_0010,cryptarithmetic_cf2_base9_sub,counterfactual,DABF - CD = CFED,"Solve the following cryptarithmetic subtraction puzzle in Base 9 (Nonary arithmetic).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8}.  The digit 9 does not exist.
  - Each letter represents a unique digit from this set.
  - No multi-letter word may begin with 0.
  - When borrowing is needed, the 'Add 9' rule applies: the current digit gains 9 (not 10) and 1 is borrowed from the column to the left.
  - Example: to compute 3 − 6, borrow 1 from the left; 3 becomes 3 + 9 = 12, then 12 − 6 = 6.

Equation:  DABF - CD = CFED

Provide the unique letter-to-digit assignment as a JSON object.",,,,,,"{""A"": 0, ""B"": 1, ""C"": 3, ""D"": 4, ""E"": 7, ""F"": 8}","{""base"": 9, ""num_letters"": 6, ""equation"": ""DABF - CD = CFED"", ""eval_mode"": ""open_native_base9""}"
