id,rule,state,puzzle,question,correct_answer,params
entropy_jugs_cf2_entropy_trap_0001,entropy_jugs_cf2_entropy_trap,counterfactual,"{""capacities"": [7, 8], ""target"": 2, ""start"": [0, 0]}","You are playing Entropy Jugs — a variant of the classic Water Jug puzzle.
Rules — allowed moves:
  - Fill a jug from the tap (fills it to full capacity).
  - Empty a jug (drains it completely to 0).
  - Pour from one jug to the other — with a 1-unit EVAPORATION TAX:
      Amount removed from source jug = min(Source, TargetSpace + 1)
      Amount added to target jug     = max(0, AmountRemoved - 1)
    Example: pouring 4 units removes 4 from source but delivers only 3 to target.
Goal: reach the exact target volume in either jug using the fewest moves.

Puzzle: Jug A capacity: 7L | Jug B capacity: 8L | Starting state: [0, 0] | Target: 2L in either jug","[[0, 0], [7, 0], [0, 6], [7, 6], [4, 8], [7, 4], [2, 8]]","{""cap1"": 7, ""cap2"": 8, ""target"": 2, ""taxed"": true, ""category"": ""entropy_trap"", ""taxed_path_length"": 7, ""classic_path_length"": 7, ""path_length_diff"": 0, ""first_move_differs"": true, ""has_classic_distractor"": true}"
entropy_jugs_cf2_entropy_trap_0002,entropy_jugs_cf2_entropy_trap,counterfactual,"{""capacities"": [8, 11], ""target"": 2, ""start"": [0, 0]}","You are playing Entropy Jugs — a variant of the classic Water Jug puzzle.
Rules — allowed moves:
  - Fill a jug from the tap (fills it to full capacity).
  - Empty a jug (drains it completely to 0).
  - Pour from one jug to the other — with a 1-unit EVAPORATION TAX:
      Amount removed from source jug = min(Source, TargetSpace + 1)
      Amount added to target jug     = max(0, AmountRemoved - 1)
    Example: pouring 4 units removes 4 from source but delivers only 3 to target.
Goal: reach the exact target volume in either jug using the fewest moves.

Puzzle: Jug A capacity: 8L | Jug B capacity: 11L | Starting state: [0, 0] | Target: 2L in either jug","[[0, 0], [0, 11], [8, 2]]","{""cap1"": 8, ""cap2"": 11, ""target"": 2, ""taxed"": true, ""category"": ""entropy_trap"", ""taxed_path_length"": 3, ""classic_path_length"": 9, ""path_length_diff"": -6, ""first_move_differs"": true, ""has_classic_distractor"": true}"
entropy_jugs_cf2_entropy_trap_0003,entropy_jugs_cf2_entropy_trap,counterfactual,"{""capacities"": [7, 12], ""target"": 1, ""start"": [0, 0]}","You are playing Entropy Jugs — a variant of the classic Water Jug puzzle.
Rules — allowed moves:
  - Fill a jug from the tap (fills it to full capacity).
  - Empty a jug (drains it completely to 0).
  - Pour from one jug to the other — with a 1-unit EVAPORATION TAX:
      Amount removed from source jug = min(Source, TargetSpace + 1)
      Amount added to target jug     = max(0, AmountRemoved - 1)
    Example: pouring 4 units removes 4 from source but delivers only 3 to target.
Goal: reach the exact target volume in either jug using the fewest moves.

Puzzle: Jug A capacity: 7L | Jug B capacity: 12L | Starting state: [0, 0] | Target: 1L in either jug","[[0, 0], [0, 12], [7, 4], [0, 4], [3, 0], [0, 2], [1, 0]]","{""cap1"": 7, ""cap2"": 12, ""target"": 1, ""taxed"": true, ""category"": ""entropy_trap"", ""taxed_path_length"": 7, ""classic_path_length"": 15, ""path_length_diff"": -8, ""first_move_differs"": false, ""has_classic_distractor"": true}"
entropy_jugs_cf2_entropy_trap_0004,entropy_jugs_cf2_entropy_trap,counterfactual,"{""capacities"": [8, 9], ""target"": 6, ""start"": [0, 0]}","You are playing Entropy Jugs — a variant of the classic Water Jug puzzle.
Rules — allowed moves:
  - Fill a jug from the tap (fills it to full capacity).
  - Empty a jug (drains it completely to 0).
  - Pour from one jug to the other — with a 1-unit EVAPORATION TAX:
      Amount removed from source jug = min(Source, TargetSpace + 1)
      Amount added to target jug     = max(0, AmountRemoved - 1)
    Example: pouring 4 units removes 4 from source but delivers only 3 to target.
Goal: reach the exact target volume in either jug using the fewest moves.

Puzzle: Jug A capacity: 8L | Jug B capacity: 9L | Starting state: [0, 0] | Target: 6L in either jug","[[0, 0], [8, 0], [0, 7], [6, 0]]","{""cap1"": 8, ""cap2"": 9, ""target"": 6, ""taxed"": true, ""category"": ""entropy_trap"", ""taxed_path_length"": 4, ""classic_path_length"": 9, ""path_length_diff"": -5, ""first_move_differs"": false, ""has_classic_distractor"": true}"
entropy_jugs_cf2_entropy_trap_0005,entropy_jugs_cf2_entropy_trap,counterfactual,"{""capacities"": [8, 9], ""target"": 2, ""start"": [0, 0]}","You are playing Entropy Jugs — a variant of the classic Water Jug puzzle.
Rules — allowed moves:
  - Fill a jug from the tap (fills it to full capacity).
  - Empty a jug (drains it completely to 0).
  - Pour from one jug to the other — with a 1-unit EVAPORATION TAX:
      Amount removed from source jug = min(Source, TargetSpace + 1)
      Amount added to target jug     = max(0, AmountRemoved - 1)
    Example: pouring 4 units removes 4 from source but delivers only 3 to target.
Goal: reach the exact target volume in either jug using the fewest moves.

Puzzle: Jug A capacity: 8L | Jug B capacity: 9L | Starting state: [0, 0] | Target: 2L in either jug","[[0, 0], [8, 0], [0, 7], [6, 0], [0, 5], [4, 0], [0, 3], [2, 0]]","{""cap1"": 8, ""cap2"": 9, ""target"": 2, ""taxed"": true, ""category"": ""entropy_trap"", ""taxed_path_length"": 8, ""classic_path_length"": 7, ""path_length_diff"": 1, ""first_move_differs"": true, ""has_classic_distractor"": true}"
entropy_jugs_cf2_entropy_trap_0006,entropy_jugs_cf2_entropy_trap,counterfactual,"{""capacities"": [3, 5], ""target"": 4, ""start"": [0, 0]}","You are playing Entropy Jugs — a variant of the classic Water Jug puzzle.
Rules — allowed moves:
  - Fill a jug from the tap (fills it to full capacity).
  - Empty a jug (drains it completely to 0).
  - Pour from one jug to the other — with a 1-unit EVAPORATION TAX:
      Amount removed from source jug = min(Source, TargetSpace + 1)
      Amount added to target jug     = max(0, AmountRemoved - 1)
    Example: pouring 4 units removes 4 from source but delivers only 3 to target.
Goal: reach the exact target volume in either jug using the fewest moves.

Puzzle: Jug A capacity: 3L | Jug B capacity: 5L | Starting state: [0, 0] | Target: 4L in either jug","[[0, 0], [3, 0], [0, 2], [3, 2], [0, 4]]","{""cap1"": 3, ""cap2"": 5, ""target"": 4, ""taxed"": true, ""category"": ""entropy_trap"", ""taxed_path_length"": 5, ""classic_path_length"": 7, ""path_length_diff"": -2, ""first_move_differs"": true, ""has_classic_distractor"": true}"
entropy_jugs_cf2_entropy_trap_0007,entropy_jugs_cf2_entropy_trap,counterfactual,"{""capacities"": [7, 8], ""target"": 5, ""start"": [0, 0]}","You are playing Entropy Jugs — a variant of the classic Water Jug puzzle.
Rules — allowed moves:
  - Fill a jug from the tap (fills it to full capacity).
  - Empty a jug (drains it completely to 0).
  - Pour from one jug to the other — with a 1-unit EVAPORATION TAX:
      Amount removed from source jug = min(Source, TargetSpace + 1)
      Amount added to target jug     = max(0, AmountRemoved - 1)
    Example: pouring 4 units removes 4 from source but delivers only 3 to target.
Goal: reach the exact target volume in either jug using the fewest moves.

Puzzle: Jug A capacity: 7L | Jug B capacity: 8L | Starting state: [0, 0] | Target: 5L in either jug","[[0, 0], [7, 0], [0, 6], [5, 0]]","{""cap1"": 7, ""cap2"": 8, ""target"": 5, ""taxed"": true, ""category"": ""entropy_trap"", ""taxed_path_length"": 4, ""classic_path_length"": 9, ""path_length_diff"": -5, ""first_move_differs"": false, ""has_classic_distractor"": true}"
entropy_jugs_cf2_entropy_trap_0008,entropy_jugs_cf2_entropy_trap,counterfactual,"{""capacities"": [6, 7], ""target"": 4, ""start"": [0, 0]}","You are playing Entropy Jugs — a variant of the classic Water Jug puzzle.
Rules — allowed moves:
  - Fill a jug from the tap (fills it to full capacity).
  - Empty a jug (drains it completely to 0).
  - Pour from one jug to the other — with a 1-unit EVAPORATION TAX:
      Amount removed from source jug = min(Source, TargetSpace + 1)
      Amount added to target jug     = max(0, AmountRemoved - 1)
    Example: pouring 4 units removes 4 from source but delivers only 3 to target.
Goal: reach the exact target volume in either jug using the fewest moves.

Puzzle: Jug A capacity: 6L | Jug B capacity: 7L | Starting state: [0, 0] | Target: 4L in either jug","[[0, 0], [6, 0], [0, 5], [4, 0]]","{""cap1"": 6, ""cap2"": 7, ""target"": 4, ""taxed"": true, ""category"": ""entropy_trap"", ""taxed_path_length"": 4, ""classic_path_length"": 9, ""path_length_diff"": -5, ""first_move_differs"": false, ""has_classic_distractor"": true}"
entropy_jugs_cf2_entropy_trap_0009,entropy_jugs_cf2_entropy_trap,counterfactual,"{""capacities"": [5, 6], ""target"": 3, ""start"": [0, 0]}","You are playing Entropy Jugs — a variant of the classic Water Jug puzzle.
Rules — allowed moves:
  - Fill a jug from the tap (fills it to full capacity).
  - Empty a jug (drains it completely to 0).
  - Pour from one jug to the other — with a 1-unit EVAPORATION TAX:
      Amount removed from source jug = min(Source, TargetSpace + 1)
      Amount added to target jug     = max(0, AmountRemoved - 1)
    Example: pouring 4 units removes 4 from source but delivers only 3 to target.
Goal: reach the exact target volume in either jug using the fewest moves.

Puzzle: Jug A capacity: 5L | Jug B capacity: 6L | Starting state: [0, 0] | Target: 3L in either jug","[[0, 0], [5, 0], [0, 4], [3, 0]]","{""cap1"": 5, ""cap2"": 6, ""target"": 3, ""taxed"": true, ""category"": ""entropy_trap"", ""taxed_path_length"": 4, ""classic_path_length"": 9, ""path_length_diff"": -5, ""first_move_differs"": false, ""has_classic_distractor"": true}"
entropy_jugs_cf2_entropy_trap_0010,entropy_jugs_cf2_entropy_trap,counterfactual,"{""capacities"": [6, 7], ""target"": 2, ""start"": [0, 0]}","You are playing Entropy Jugs — a variant of the classic Water Jug puzzle.
Rules — allowed moves:
  - Fill a jug from the tap (fills it to full capacity).
  - Empty a jug (drains it completely to 0).
  - Pour from one jug to the other — with a 1-unit EVAPORATION TAX:
      Amount removed from source jug = min(Source, TargetSpace + 1)
      Amount added to target jug     = max(0, AmountRemoved - 1)
    Example: pouring 4 units removes 4 from source but delivers only 3 to target.
Goal: reach the exact target volume in either jug using the fewest moves.

Puzzle: Jug A capacity: 6L | Jug B capacity: 7L | Starting state: [0, 0] | Target: 2L in either jug","[[0, 0], [6, 0], [0, 5], [4, 0], [0, 3], [2, 0]]","{""cap1"": 6, ""cap2"": 7, ""target"": 2, ""taxed"": true, ""category"": ""entropy_trap"", ""taxed_path_length"": 6, ""classic_path_length"": 7, ""path_length_diff"": -1, ""first_move_differs"": true, ""has_classic_distractor"": true}"
