id,rule,state,puzzle,question,option_A,option_B,option_C,option_D,correct_option,correct_answer,params
countdown_baseline_0001,countdown_baseline,baseline,"{""numbers"": [7, 6, 1, 8, 6, 3], ""target"": 298}","Solve the following Countdown-style puzzle.
Rules:
  - You are given six numbers and a single integer target.
  - Use a subset of the numbers (each at most once).
  - Combine them with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer (no fractions).

Numbers: 7, 6, 1, 8, 6, 3
Target: 298

Which of the following expressions correctly reaches the target?",((7 + 3) + (6 × (6 × 8))),((7 − 3) + (6 × (6 × 8))),((7 + 3) − (6 × (6 × 8))),((7 + 3) + (6 × (6 − 8))),A,((7 + 3) + (6 × (6 × 8))),"{""numbers"": [7, 6, 1, 8, 6, 3], ""target"": 298}"
countdown_baseline_0002,countdown_baseline,baseline,"{""numbers"": [5, 6, 2, 8, 2, 3], ""target"": 114}","Solve the following Countdown-style puzzle.
Rules:
  - You are given six numbers and a single integer target.
  - Use a subset of the numbers (each at most once).
  - Combine them with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer (no fractions).

Numbers: 5, 6, 2, 8, 2, 3
Target: 114

Which of the following expressions correctly reaches the target?",(3 + (8 + (5 × 6))),(3 − (8 + (5 × 6))),(3 × (8 + (5 + 6))),(3 × (8 + (5 × 6))),D,(3 × (8 + (5 × 6))),"{""numbers"": [5, 6, 2, 8, 2, 3], ""target"": 114}"
countdown_baseline_0003,countdown_baseline,baseline,"{""numbers"": [6, 7, 1, 5, 5, 6], ""target"": 210}","Solve the following Countdown-style puzzle.
Rules:
  - You are given six numbers and a single integer target.
  - Use a subset of the numbers (each at most once).
  - Combine them with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer (no fractions).

Numbers: 6, 7, 1, 5, 5, 6
Target: 210

Which of the following expressions correctly reaches the target?",(5 + (6 × 7)),(5 × (6 × 7)),(5 × (6 + 7)),(5 × (6 − 7)),B,(5 × (6 × 7)),"{""numbers"": [6, 7, 1, 5, 5, 6], ""target"": 210}"
countdown_baseline_0004,countdown_baseline,baseline,"{""numbers"": [9, 1, 8, 4, 6, 8], ""target"": 288}","Solve the following Countdown-style puzzle.
Rules:
  - You are given six numbers and a single integer target.
  - Use a subset of the numbers (each at most once).
  - Combine them with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer (no fractions).

Numbers: 9, 1, 8, 4, 6, 8
Target: 288

Which of the following expressions correctly reaches the target?",(4 × (9 + 8)),(4 × (9 − 8)),(4 − (9 × 8)),(4 × (9 × 8)),D,(4 × (9 × 8)),"{""numbers"": [9, 1, 8, 4, 6, 8], ""target"": 288}"
countdown_baseline_0005,countdown_baseline,baseline,"{""numbers"": [8, 7, 6, 3, 8, 8], ""target"": 672}","Solve the following Countdown-style puzzle.
Rules:
  - You are given six numbers and a single integer target.
  - Use a subset of the numbers (each at most once).
  - Combine them with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer (no fractions).

Numbers: 8, 7, 6, 3, 8, 8
Target: 672

Which of the following expressions correctly reaches the target?",((8 − 8) × (7 × 6)),((8 + 8) × (7 × 6)),((8 × 8) × (7 × 6)),((8 + 8) + (7 × 6)),B,((8 + 8) × (7 × 6)),"{""numbers"": [8, 7, 6, 3, 8, 8], ""target"": 672}"
countdown_baseline_0006,countdown_baseline,baseline,"{""numbers"": [4, 5, 8, 4, 2, 3], ""target"": 240}","Solve the following Countdown-style puzzle.
Rules:
  - You are given six numbers and a single integer target.
  - Use a subset of the numbers (each at most once).
  - Combine them with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer (no fractions).

Numbers: 4, 5, 8, 4, 2, 3
Target: 240

Which of the following expressions correctly reaches the target?",((4 × 5) × (8 + 4)),((4 + 5) × (8 + 4)),((4 × 5) × (8 ÷ 4)),((4 × 5) × (8 × 4)),A,((4 × 5) × (8 + 4)),"{""numbers"": [4, 5, 8, 4, 2, 3], ""target"": 240}"
countdown_baseline_0007,countdown_baseline,baseline,"{""numbers"": [8, 1, 9, 7, 7, 9], ""target"": 144}","Solve the following Countdown-style puzzle.
Rules:
  - You are given six numbers and a single integer target.
  - Use a subset of the numbers (each at most once).
  - Combine them with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer (no fractions).

Numbers: 8, 1, 9, 7, 7, 9
Target: 144

Which of the following expressions correctly reaches the target?",(8 + (9 + 9)),(8 × (9 + 9)),(8 × (9 − 9)),(8 − (9 + 9)),B,(8 × (9 + 9)),"{""numbers"": [8, 1, 9, 7, 7, 9], ""target"": 144}"
countdown_baseline_0008,countdown_baseline,baseline,"{""numbers"": [2, 3, 7, 8, 9, 9], ""target"": 265}","Solve the following Countdown-style puzzle.
Rules:
  - You are given six numbers and a single integer target.
  - Use a subset of the numbers (each at most once).
  - Combine them with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer (no fractions).

Numbers: 2, 3, 7, 8, 9, 9
Target: 265

Which of the following expressions correctly reaches the target?",((3 − (8 + (9 × 9))) − 2),((3 × (8 + (9 × 9))) − 2),((3 × (8 + (9 − 9))) − 2),((3 × (8 + (9 ÷ 9))) − 2),B,((3 × (8 + (9 × 9))) − 2),"{""numbers"": [2, 3, 7, 8, 9, 9], ""target"": 265}"
countdown_baseline_0009,countdown_baseline,baseline,"{""numbers"": [4, 9, 8, 6, 8, 2], ""target"": 112}","Solve the following Countdown-style puzzle.
Rules:
  - You are given six numbers and a single integer target.
  - Use a subset of the numbers (each at most once).
  - Combine them with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer (no fractions).

Numbers: 4, 9, 8, 6, 8, 2
Target: 112

Which of the following expressions correctly reaches the target?",(8 × (8 − 6)),(8 × (8 + 6)),(8 − (8 + 6)),(8 × (8 × 6)),B,(8 × (8 + 6)),"{""numbers"": [4, 9, 8, 6, 8, 2], ""target"": 112}"
countdown_baseline_0010,countdown_baseline,baseline,"{""numbers"": [9, 6, 4, 3, 2, 4], ""target"": 144}","Solve the following Countdown-style puzzle.
Rules:
  - You are given six numbers and a single integer target.
  - Use a subset of the numbers (each at most once).
  - Combine them with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer (no fractions).

Numbers: 9, 6, 4, 3, 2, 4
Target: 144

Which of the following expressions correctly reaches the target?",(4 × (9 × 4)),(4 + (9 × 4)),(4 − (9 × 4)),(4 × (9 + 4)),A,(4 × (9 × 4)),"{""numbers"": [9, 6, 4, 3, 2, 4], ""target"": 144}"
