id,rule,state,puzzle,question,correct_answer,params
game24_cf3_prime_target_0001,game24_cf3_prime_target,counterfactual,"{""numbers"": [9, 5, 12, 10], ""target"": 71}","Solve the following Game-of-24 variant.
Rule change: the target is a **prime** integer (not 24).
  - Four numbers, used each exactly once.
  - Combine with +, −, ×, ÷ and parentheses; every intermediate division must be exact.
  - The expression must evaluate to the stated prime target.

Numbers: 9, 5, 12, 10
Prime target: 71",((9 + 12) + (5 × 10)),"{""numbers"": [9, 5, 12, 10], ""target"": 71}"
game24_cf3_prime_target_0002,game24_cf3_prime_target,counterfactual,"{""numbers"": [6, 5, 4, 1], ""target"": 43}","Solve the following Game-of-24 variant.
Rule change: the target is a **prime** integer (not 24).
  - Four numbers, used each exactly once.
  - Combine with +, −, ×, ÷ and parentheses; every intermediate division must be exact.
  - The expression must evaluate to the stated prime target.

Numbers: 6, 5, 4, 1
Prime target: 43",((4 × (6 + 5)) − 1),"{""numbers"": [6, 5, 4, 1], ""target"": 43}"
game24_cf3_prime_target_0003,game24_cf3_prime_target,counterfactual,"{""numbers"": [9, 4, 10, 4], ""target"": 17}","Solve the following Game-of-24 variant.
Rule change: the target is a **prime** integer (not 24).
  - Four numbers, used each exactly once.
  - Combine with +, −, ×, ÷ and parentheses; every intermediate division must be exact.
  - The expression must evaluate to the stated prime target.

Numbers: 9, 4, 10, 4
Prime target: 17",((4 × 4) − (9 − 10)),"{""numbers"": [9, 4, 10, 4], ""target"": 17}"
game24_cf3_prime_target_0004,game24_cf3_prime_target,counterfactual,"{""numbers"": [1, 12, 7, 1], ""target"": 83}","Solve the following Game-of-24 variant.
Rule change: the target is a **prime** integer (not 24).
  - Four numbers, used each exactly once.
  - Combine with +, −, ×, ÷ and parentheses; every intermediate division must be exact.
  - The expression must evaluate to the stated prime target.

Numbers: 1, 12, 7, 1
Prime target: 83",((7 × (1 × 12)) − 1),"{""numbers"": [1, 12, 7, 1], ""target"": 83}"
game24_cf3_prime_target_0005,game24_cf3_prime_target,counterfactual,"{""numbers"": [4, 7, 7, 10], ""target"": 17}","Solve the following Game-of-24 variant.
Rule change: the target is a **prime** integer (not 24).
  - Four numbers, used each exactly once.
  - Combine with +, −, ×, ÷ and parentheses; every intermediate division must be exact.
  - The expression must evaluate to the stated prime target.

Numbers: 4, 7, 7, 10
Prime target: 17",((7 × (10 − 7)) − 4),"{""numbers"": [4, 7, 7, 10], ""target"": 17}"
game24_cf3_prime_target_0006,game24_cf3_prime_target,counterfactual,"{""numbers"": [11, 11, 7, 12], ""target"": 37}","Solve the following Game-of-24 variant.
Rule change: the target is a **prime** integer (not 24).
  - Four numbers, used each exactly once.
  - Combine with +, −, ×, ÷ and parentheses; every intermediate division must be exact.
  - The expression must evaluate to the stated prime target.

Numbers: 11, 11, 7, 12
Prime target: 37",((11 × 11) − (7 × 12)),"{""numbers"": [11, 11, 7, 12], ""target"": 37}"
game24_cf3_prime_target_0007,game24_cf3_prime_target,counterfactual,"{""numbers"": [11, 1, 1, 4], ""target"": 41}","Solve the following Game-of-24 variant.
Rule change: the target is a **prime** integer (not 24).
  - Four numbers, used each exactly once.
  - Combine with +, −, ×, ÷ and parentheses; every intermediate division must be exact.
  - The expression must evaluate to the stated prime target.

Numbers: 11, 1, 1, 4
Prime target: 41",(1 + (4 × (11 − 1))),"{""numbers"": [11, 1, 1, 4], ""target"": 41}"
game24_cf3_prime_target_0008,game24_cf3_prime_target,counterfactual,"{""numbers"": [10, 12, 5, 9], ""target"": 17}","Solve the following Game-of-24 variant.
Rule change: the target is a **prime** integer (not 24).
  - Four numbers, used each exactly once.
  - Combine with +, −, ×, ÷ and parentheses; every intermediate division must be exact.
  - The expression must evaluate to the stated prime target.

Numbers: 10, 12, 5, 9
Prime target: 17",((10 − 9) × (12 + 5)),"{""numbers"": [10, 12, 5, 9], ""target"": 17}"
game24_cf3_prime_target_0009,game24_cf3_prime_target,counterfactual,"{""numbers"": [7, 8, 12, 10], ""target"": 79}","Solve the following Game-of-24 variant.
Rule change: the target is a **prime** integer (not 24).
  - Four numbers, used each exactly once.
  - Combine with +, −, ×, ÷ and parentheses; every intermediate division must be exact.
  - The expression must evaluate to the stated prime target.

Numbers: 7, 8, 12, 10
Prime target: 79",((8 × 12) − (7 + 10)),"{""numbers"": [7, 8, 12, 10], ""target"": 79}"
game24_cf3_prime_target_0010,game24_cf3_prime_target,counterfactual,"{""numbers"": [11, 2, 6, 11], ""target"": 89}","Solve the following Game-of-24 variant.
Rule change: the target is a **prime** integer (not 24).
  - Four numbers, used each exactly once.
  - Combine with +, −, ×, ÷ and parentheses; every intermediate division must be exact.
  - The expression must evaluate to the stated prime target.

Numbers: 11, 2, 6, 11
Prime target: 89",(11 + (6 × (11 + 2))),"{""numbers"": [11, 2, 6, 11], ""target"": 89}"
