row_id,game,variant,n,params,initial_state,goal_state,solution,num_moves
hanoi_baseline_n2,hanoi,baseline,2,"{""num_pegs"": 3}","[[2, 1], [], []]","[[], [], [2, 1]]","[[1, 0, 1], [2, 0, 2], [1, 1, 2]]",3
hanoi_baseline_n3,hanoi,baseline,3,"{""num_pegs"": 3}","[[3, 2, 1], [], []]","[[], [], [3, 2, 1]]","[[1, 0, 2], [2, 0, 1], [1, 2, 1], [3, 0, 2], [1, 1, 0], [2, 1, 2], [1, 0, 2]]",7
hanoi_baseline_n4,hanoi,baseline,4,"{""num_pegs"": 3}","[[4, 3, 2, 1], [], []]","[[], [], [4, 3, 2, 1]]","[[1, 0, 1], [2, 0, 2], [1, 1, 2], [3, 0, 1], [1, 2, 0], [2, 2, 1], [1, 0, 1], [4, 0, 2], [1, 1, 2], [2, 1, 0], [1, 2, 0], [3, 1, 2], [1, 0, 1], [2, 0, 2], [1, 1, 2]]",15
hanoi_baseline_n5,hanoi,baseline,5,"{""num_pegs"": 3}","[[5, 4, 3, 2, 1], [], []]","[[], [], [5, 4, 3, 2, 1]]","[[1, 0, 2], [2, 0, 1], [1, 2, 1], [3, 0, 2], [1, 1, 0], [2, 1, 2], [1, 0, 2], [4, 0, 1], [1, 2, 1], [2, 2, 0], [1, 1, 0], [3, 2, 1], [1, 0, 2], [2, 0, 1], [1, 2, 1], [5, 0, 2], [1, 1, 0], [2, 1, 2], [1, 0, 2], [3, 1, 0], [1, 2, 1], [2, 2, 0], [1, 1, 0], [4, 1, 2], [1, 0, 2], [2, 0, 1], [1, 2, 1], [3, 0, 2], [1, 1, 0], [2, 1, 2], [1, 0, 2]]",31
hanoi_baseline_n6,hanoi,baseline,6,"{""num_pegs"": 3}","[[6, 5, 4, 3, 2, 1], [], []]","[[], [], [6, 5, 4, 3, 2, 1]]","[[1, 0, 1], [2, 0, 2], [1, 1, 2], [3, 0, 1], [1, 2, 0], [2, 2, 1], [1, 0, 1], [4, 0, 2], [1, 1, 2], [2, 1, 0], [1, 2, 0], [3, 1, 2], [1, 0, 1], [2, 0, 2], [1, 1, 2], [5, 0, 1], [1, 2, 0], [2, 2, 1], [1, 0, 1], [3, 2, 0], [1, 1, 2], [2, 1, 0], [1, 2, 0], [4, 2, 1], [1, 0, 1], [2, 0, 2], [1, 1, 2], [3, 0, 1], [1, 2, 0], [2, 2, 1], [1, 0, 1], [6, 0, 2], [1, 1, 2], [2, 1, 0], [1, 2, 0], [3, 1, 2], [1, 0, 1], [2, 0, 2], [1, 1, 2], [4, 1, 0], [1, 2, 0], [2, 2, 1], [1, 0, 1], [3, 2, 0], [1, 1, 2], [2, 1, 0], [1, 2, 0], [5, 1, 2], [1, 0, 1], [2, 0, 2], [1, 1, 2], [3, 0, 1], [1, 2, 0], [2, 2, 1], [1, 0, 1], [4, 0, 2], [1, 1, 2], [2, 1, 0], [1, 2, 0], [3, 1, 2], [1, 0, 1], [2, 0, 2], [1, 1, 2]]",63
hanoi_baseline_n7,hanoi,baseline,7,"{""num_pegs"": 3}","[[7, 6, 5, 4, 3, 2, 1], [], []]","[[], [], [7, 6, 5, 4, 3, 2, 1]]","[[1, 0, 2], [2, 0, 1], [1, 2, 1], [3, 0, 2], [1, 1, 0], [2, 1, 2], [1, 0, 2], [4, 0, 1], [1, 2, 1], [2, 2, 0], [1, 1, 0], [3, 2, 1], [1, 0, 2], [2, 0, 1], [1, 2, 1], [5, 0, 2], [1, 1, 0], [2, 1, 2], [1, 0, 2], [3, 1, 0], [1, 2, 1], [2, 2, 0], [1, 1, 0], [4, 1, 2], [1, 0, 2], [2, 0, 1], [1, 2, 1], [3, 0, 2], [1, 1, 0], [2, 1, 2], [1, 0, 2], [6, 0, 1], [1, 2, 1], [2, 2, 0], [1, 1, 0], [3, 2, 1], [1, 0, 2], [2, 0, 1], [1, 2, 1], [4, 2, 0], [1, 1, 0], [2, 1, 2], [1, 0, 2], [3, 1, 0], [1, 2, 1], [2, 2, 0], [1, 1, 0], [5, 2, 1], [1, 0, 2], [2, 0, 1], [1, 2, 1], [3, 0, 2], [1, 1, 0], [2, 1, 2], [1, 0, 2], [4, 0, 1], [1, 2, 1], [2, 2, 0], [1, 1, 0], [3, 2, 1], [1, 0, 2], [2, 0, 1], [1, 2, 1], [7, 0, 2], [1, 1, 0], [2, 1, 2], [1, 0, 2], [3, 1, 0], [1, 2, 1], [2, 2, 0], [1, 1, 0], [4, 1, 2], [1, 0, 2], [2, 0, 1], [1, 2, 1], [3, 0, 2], [1, 1, 0], [2, 1, 2], [1, 0, 2], [5, 1, 0], [1, 2, 1], [2, 2, 0], [1, 1, 0], [3, 2, 1], [1, 0, 2], [2, 0, 1], [1, 2, 1], [4, 2, 0], [1, 1, 0], [2, 1, 2], [1, 0, 2], [3, 1, 0], [1, 2, 1], [2, 2, 0], [1, 1, 0], [6, 1, 2], [1, 0, 2], [2, 0, 1], [1, 2, 1], [3, 0, 2], [1, 1, 0], [2, 1, 2], [1, 0, 2], [4, 0, 1], [1, 2, 1], [2, 2, 0], [1, 1, 0], [3, 2, 1], [1, 0, 2], [2, 0, 1], [1, 2, 1], [5, 0, 2], [1, 1, 0], [2, 1, 2], [1, 0, 2], [3, 1, 0], [1, 2, 1], [2, 2, 0], [1, 1, 0], [4, 1, 2], [1, 0, 2], [2, 0, 1], [1, 2, 1], [3, 0, 2], [1, 1, 0], [2, 1, 2], [1, 0, 2]]",127
hanoi_cf1_four_pegs_n2,hanoi,cf1_four_pegs,2,"{""num_pegs"": 4}","[[2, 1], [], [], []]","[[], [], [], [2, 1]]","[[1, 0, 1], [2, 0, 3], [1, 1, 3]]",3
hanoi_cf1_four_pegs_n3,hanoi,cf1_four_pegs,3,"{""num_pegs"": 4}","[[3, 2, 1], [], [], []]","[[], [], [], [3, 2, 1]]","[[1, 0, 1], [2, 0, 2], [3, 0, 3], [2, 2, 3], [1, 1, 3]]",5
hanoi_cf1_four_pegs_n4,hanoi,cf1_four_pegs,4,"{""num_pegs"": 4}","[[4, 3, 2, 1], [], [], []]","[[], [], [], [4, 3, 2, 1]]","[[1, 0, 1], [2, 0, 3], [3, 0, 2], [2, 3, 2], [4, 0, 3], [2, 2, 0], [3, 2, 3], [2, 0, 3], [1, 1, 3]]",9
hanoi_cf1_four_pegs_n5,hanoi,cf1_four_pegs,5,"{""num_pegs"": 4}","[[5, 4, 3, 2, 1], [], [], []]","[[], [], [], [5, 4, 3, 2, 1]]","[[1, 0, 2], [2, 0, 1], [1, 2, 1], [3, 0, 3], [4, 0, 2], [3, 3, 2], [5, 0, 3], [3, 2, 0], [4, 2, 3], [3, 0, 3], [1, 1, 0], [2, 1, 3], [1, 0, 3]]",13
hanoi_cf1_four_pegs_n6,hanoi,cf1_four_pegs,6,"{""num_pegs"": 4}","[[6, 5, 4, 3, 2, 1], [], [], []]","[[], [], [], [6, 5, 4, 3, 2, 1]]","[[1, 0, 2], [2, 0, 3], [3, 0, 1], [2, 3, 1], [1, 2, 1], [4, 0, 3], [5, 0, 2], [4, 3, 2], [6, 0, 3], [4, 2, 0], [5, 2, 3], [4, 0, 3], [1, 1, 0], [2, 1, 2], [3, 1, 3], [2, 2, 3], [1, 0, 3]]",17
