id,rule,state,puzzle,question,correct_answer,params
cryptarithmetic_cf1_base9_add_0001,cryptarithmetic_cf1_base9_add,counterfactual,AEFF + GCG = BDAD,"Solve the following cryptarithmetic puzzle in Base 9 (Nonary arithmetic).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8}.  The digit 9 does not exist.
  - Each letter represents a unique digit from this set.
  - No multi-letter word may begin with 0.
  - Carrying occurs when a column sum reaches 9 (not 10): writing 0 and carrying 1 to the next column.
  - Example: 5 + 4 = 10 in Base 9 (write 0, carry 1).

Equation:  AEFF + GCG = BDAD

Provide the unique letter-to-digit assignment as a JSON object.","{""A"": 1, ""B"": 2, ""C"": 3, ""D"": 4, ""E"": 5, ""F"": 6, ""G"": 7}","{""base"": 9, ""num_letters"": 7, ""equation"": ""AEFF + GCG = BDAD"", ""eval_mode"": ""open_native_base9""}"
cryptarithmetic_cf1_base9_add_0002,cryptarithmetic_cf1_base9_add,counterfactual,HDED + HDD = BACGF,"Solve the following cryptarithmetic puzzle in Base 9 (Nonary arithmetic).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8}.  The digit 9 does not exist.
  - Each letter represents a unique digit from this set.
  - No multi-letter word may begin with 0.
  - Carrying occurs when a column sum reaches 9 (not 10): writing 0 and carrying 1 to the next column.
  - Example: 5 + 4 = 10 in Base 9 (write 0, carry 1).

Equation:  HDED + HDD = BACGF

Provide the unique letter-to-digit assignment as a JSON object.","{""A"": 0, ""B"": 1, ""C"": 2, ""D"": 3, ""E"": 4, ""F"": 6, ""G"": 7, ""H"": 8}","{""base"": 9, ""num_letters"": 8, ""equation"": ""HDED + HDD = BACGF"", ""eval_mode"": ""open_native_base9""}"
cryptarithmetic_cf1_base9_add_0003,cryptarithmetic_cf1_base9_add,counterfactual,FCED + CCEF = BCACC,"Solve the following cryptarithmetic puzzle in Base 9 (Nonary arithmetic).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8}.  The digit 9 does not exist.
  - Each letter represents a unique digit from this set.
  - No multi-letter word may begin with 0.
  - Carrying occurs when a column sum reaches 9 (not 10): writing 0 and carrying 1 to the next column.
  - Example: 5 + 4 = 10 in Base 9 (write 0, carry 1).

Equation:  FCED + CCEF = BCACC

Provide the unique letter-to-digit assignment as a JSON object.","{""A"": 0, ""B"": 1, ""C"": 4, ""D"": 5, ""E"": 6, ""F"": 8}","{""base"": 9, ""num_letters"": 6, ""equation"": ""FCED + CCEF = BCACC"", ""eval_mode"": ""open_native_base9""}"
cryptarithmetic_cf1_base9_add_0004,cryptarithmetic_cf1_base9_add,counterfactual,FDEF + CEF = BAADE,"Solve the following cryptarithmetic puzzle in Base 9 (Nonary arithmetic).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8}.  The digit 9 does not exist.
  - Each letter represents a unique digit from this set.
  - No multi-letter word may begin with 0.
  - Carrying occurs when a column sum reaches 9 (not 10): writing 0 and carrying 1 to the next column.
  - Example: 5 + 4 = 10 in Base 9 (write 0, carry 1).

Equation:  FDEF + CEF = BAADE

Provide the unique letter-to-digit assignment as a JSON object.","{""A"": 0, ""B"": 1, ""C"": 2, ""D"": 6, ""E"": 7, ""F"": 8}","{""base"": 9, ""num_letters"": 6, ""equation"": ""FDEF + CEF = BAADE"", ""eval_mode"": ""open_native_base9""}"
cryptarithmetic_cf1_base9_add_0005,cryptarithmetic_cf1_base9_add,counterfactual,GFGC + CDC = BABCE,"Solve the following cryptarithmetic puzzle in Base 9 (Nonary arithmetic).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8}.  The digit 9 does not exist.
  - Each letter represents a unique digit from this set.
  - No multi-letter word may begin with 0.
  - Carrying occurs when a column sum reaches 9 (not 10): writing 0 and carrying 1 to the next column.
  - Example: 5 + 4 = 10 in Base 9 (write 0, carry 1).

Equation:  GFGC + CDC = BABCE

Provide the unique letter-to-digit assignment as a JSON object.","{""A"": 0, ""B"": 1, ""C"": 2, ""D"": 3, ""E"": 4, ""F"": 7, ""G"": 8}","{""base"": 9, ""num_letters"": 7, ""equation"": ""GFGC + CDC = BABCE"", ""eval_mode"": ""open_native_base9""}"
cryptarithmetic_cf1_base9_add_0006,cryptarithmetic_cf1_base9_add,counterfactual,EFB + GEDD = BACCE,"Solve the following cryptarithmetic puzzle in Base 9 (Nonary arithmetic).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8}.  The digit 9 does not exist.
  - Each letter represents a unique digit from this set.
  - No multi-letter word may begin with 0.
  - Carrying occurs when a column sum reaches 9 (not 10): writing 0 and carrying 1 to the next column.
  - Example: 5 + 4 = 10 in Base 9 (write 0, carry 1).

Equation:  EFB + GEDD = BACCE

Provide the unique letter-to-digit assignment as a JSON object.","{""A"": 0, ""B"": 1, ""C"": 2, ""D"": 4, ""E"": 5, ""F"": 7, ""G"": 8}","{""base"": 9, ""num_letters"": 7, ""equation"": ""EFB + GEDD = BACCE"", ""eval_mode"": ""open_native_base9""}"
cryptarithmetic_cf1_base9_add_0007,cryptarithmetic_cf1_base9_add,counterfactual,GGAF + EED = BADFC,"Solve the following cryptarithmetic puzzle in Base 9 (Nonary arithmetic).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8}.  The digit 9 does not exist.
  - Each letter represents a unique digit from this set.
  - No multi-letter word may begin with 0.
  - Carrying occurs when a column sum reaches 9 (not 10): writing 0 and carrying 1 to the next column.
  - Example: 5 + 4 = 10 in Base 9 (write 0, carry 1).

Equation:  GGAF + EED = BADFC

Provide the unique letter-to-digit assignment as a JSON object.","{""A"": 0, ""B"": 1, ""C"": 3, ""D"": 5, ""E"": 6, ""F"": 7, ""G"": 8}","{""base"": 9, ""num_letters"": 7, ""equation"": ""GGAF + EED = BADFC"", ""eval_mode"": ""open_native_base9""}"
cryptarithmetic_cf1_base9_add_0008,cryptarithmetic_cf1_base9_add,counterfactual,GEFC + DBD = BABGF,"Solve the following cryptarithmetic puzzle in Base 9 (Nonary arithmetic).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8}.  The digit 9 does not exist.
  - Each letter represents a unique digit from this set.
  - No multi-letter word may begin with 0.
  - Carrying occurs when a column sum reaches 9 (not 10): writing 0 and carrying 1 to the next column.
  - Example: 5 + 4 = 10 in Base 9 (write 0, carry 1).

Equation:  GEFC + DBD = BABGF

Provide the unique letter-to-digit assignment as a JSON object.","{""A"": 0, ""B"": 1, ""C"": 3, ""D"": 4, ""E"": 6, ""F"": 7, ""G"": 8}","{""base"": 9, ""num_letters"": 7, ""equation"": ""GEFC + DBD = BABGF"", ""eval_mode"": ""open_native_base9""}"
cryptarithmetic_cf1_base9_add_0009,cryptarithmetic_cf1_base9_add,counterfactual,DEE + FEFB = BACDF,"Solve the following cryptarithmetic puzzle in Base 9 (Nonary arithmetic).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8}.  The digit 9 does not exist.
  - Each letter represents a unique digit from this set.
  - No multi-letter word may begin with 0.
  - Carrying occurs when a column sum reaches 9 (not 10): writing 0 and carrying 1 to the next column.
  - Example: 5 + 4 = 10 in Base 9 (write 0, carry 1).

Equation:  DEE + FEFB = BACDF

Provide the unique letter-to-digit assignment as a JSON object.","{""A"": 0, ""B"": 1, ""C"": 5, ""D"": 6, ""E"": 7, ""F"": 8}","{""base"": 9, ""num_letters"": 6, ""equation"": ""DEE + FEFB = BACDF"", ""eval_mode"": ""open_native_base9""}"
cryptarithmetic_cf1_base9_add_0010,cryptarithmetic_cf1_base9_add,counterfactual,FDEB + FECF = AFCBA,"Solve the following cryptarithmetic puzzle in Base 9 (Nonary arithmetic).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8}.  The digit 9 does not exist.
  - Each letter represents a unique digit from this set.
  - No multi-letter word may begin with 0.
  - Carrying occurs when a column sum reaches 9 (not 10): writing 0 and carrying 1 to the next column.
  - Example: 5 + 4 = 10 in Base 9 (write 0, carry 1).

Equation:  FDEB + FECF = AFCBA

Provide the unique letter-to-digit assignment as a JSON object.","{""A"": 1, ""B"": 2, ""C"": 3, ""D"": 4, ""E"": 7, ""F"": 8}","{""base"": 9, ""num_letters"": 6, ""equation"": ""FDEB + FECF = AFCBA"", ""eval_mode"": ""open_native_base9""}"
