id,rule,state,puzzle,question,option_A,option_B,option_C,option_D,correct_option,correct_answer,params
entropy_jugs_baseline_0001,entropy_jugs_baseline,baseline,"{""capacities"": [7, 8], ""target"": 2, ""start"": [0, 0]}","You are playing the classic Water Jug puzzle.
Rules — allowed moves:
  - Fill a jug from the tap (fills it to full capacity).
  - Empty a jug (drains it completely to 0).
  - Pour from one jug to the other (transfers water exactly, no loss).
Goal: reach the exact target volume in either jug using the fewest moves.

Puzzle: Jug A capacity: 7L | Jug B capacity: 8L | Starting state: [0, 0] | Target: 2L in either jug

Each answer option is a JSON list of [Jug_A, Jug_B] states representing the sequence of jug states from start to the goal state.
Which option shows the correct (shortest) solution sequence?
Note: one option shows the path obtained by applying Entropy Jugs rules (1-unit evaporation tax on pours).","[[0, 0], [0, 8], [7, 1]]","[[0, 0], [0, 8], [7, 1], [0, 1], [1, 0], [1, 8], [7, 2], [0, 2], [2, 0], [2, 8], [7, 3]]","[[0, 0], [0, 8], [7, 1], [0, 1], [1, 0], [1, 8], [7, 2]]","[[0, 0], [7, 0], [0, 6], [7, 6], [4, 8], [7, 4], [2, 8]]",C,"[[0, 0], [0, 8], [7, 1], [0, 1], [1, 0], [1, 8], [7, 2]]","{""cap1"": 7, ""cap2"": 8, ""target"": 2, ""taxed"": false, ""path_length"": 7, ""has_taxed_distractor"": true}"
entropy_jugs_baseline_0002,entropy_jugs_baseline,baseline,"{""capacities"": [8, 11], ""target"": 2, ""start"": [0, 0]}","You are playing the classic Water Jug puzzle.
Rules — allowed moves:
  - Fill a jug from the tap (fills it to full capacity).
  - Empty a jug (drains it completely to 0).
  - Pour from one jug to the other (transfers water exactly, no loss).
Goal: reach the exact target volume in either jug using the fewest moves.

Puzzle: Jug A capacity: 8L | Jug B capacity: 11L | Starting state: [0, 0] | Target: 2L in either jug

Each answer option is a JSON list of [Jug_A, Jug_B] states representing the sequence of jug states from start to the goal state.
Which option shows the correct (shortest) solution sequence?
Note: one option shows the path obtained by applying Entropy Jugs rules (1-unit evaporation tax on pours).","[[0, 0], [0, 11], [8, 2]]","[[0, 0], [0, 11], [8, 3]]","[[0, 0], [8, 0], [0, 8], [8, 8], [5, 11], [5, 0], [0, 5], [8, 5], [2, 11]]","[[0, 0], [0, 11], [8, 3], [0, 3], [3, 0], [3, 11], [8, 6], [0, 6], [6, 0], [6, 11], [8, 9], [0, 9], [8, 1]]",C,"[[0, 0], [8, 0], [0, 8], [8, 8], [5, 11], [5, 0], [0, 5], [8, 5], [2, 11]]","{""cap1"": 8, ""cap2"": 11, ""target"": 2, ""taxed"": false, ""path_length"": 9, ""has_taxed_distractor"": true}"
entropy_jugs_baseline_0003,entropy_jugs_baseline,baseline,"{""capacities"": [7, 12], ""target"": 1, ""start"": [0, 0]}","You are playing the classic Water Jug puzzle.
Rules — allowed moves:
  - Fill a jug from the tap (fills it to full capacity).
  - Empty a jug (drains it completely to 0).
  - Pour from one jug to the other (transfers water exactly, no loss).
Goal: reach the exact target volume in either jug using the fewest moves.

Puzzle: Jug A capacity: 7L | Jug B capacity: 12L | Starting state: [0, 0] | Target: 1L in either jug

Each answer option is a JSON list of [Jug_A, Jug_B] states representing the sequence of jug states from start to the goal state.
Which option shows the correct (shortest) solution sequence?
Note: one option shows the path obtained by applying Entropy Jugs rules (1-unit evaporation tax on pours).","[[0, 0], [0, 12], [7, 5], [0, 5], [5, 0], [5, 12], [7, 10], [0, 10], [7, 3], [0, 3], [3, 0], [3, 12], [7, 8], [0, 8], [7, 1]]","[[0, 0], [0, 12], [7, 5], [0, 5], [5, 0], [5, 12], [7, 10], [0, 10], [7, 3]]","[[0, 0], [7, 0], [0, 7], [7, 7], [2, 12]]","[[0, 0], [0, 12], [7, 4], [0, 4], [3, 0], [0, 2], [1, 0]]",A,"[[0, 0], [0, 12], [7, 5], [0, 5], [5, 0], [5, 12], [7, 10], [0, 10], [7, 3], [0, 3], [3, 0], [3, 12], [7, 8], [0, 8], [7, 1]]","{""cap1"": 7, ""cap2"": 12, ""target"": 1, ""taxed"": false, ""path_length"": 15, ""has_taxed_distractor"": true}"
entropy_jugs_baseline_0004,entropy_jugs_baseline,baseline,"{""capacities"": [8, 9], ""target"": 6, ""start"": [0, 0]}","You are playing the classic Water Jug puzzle.
Rules — allowed moves:
  - Fill a jug from the tap (fills it to full capacity).
  - Empty a jug (drains it completely to 0).
  - Pour from one jug to the other (transfers water exactly, no loss).
Goal: reach the exact target volume in either jug using the fewest moves.

Puzzle: Jug A capacity: 8L | Jug B capacity: 9L | Starting state: [0, 0] | Target: 6L in either jug

Each answer option is a JSON list of [Jug_A, Jug_B] states representing the sequence of jug states from start to the goal state.
Which option shows the correct (shortest) solution sequence?
Note: one option shows the path obtained by applying Entropy Jugs rules (1-unit evaporation tax on pours).","[[0, 0], [8, 0], [0, 7], [6, 0]]","[[0, 0], [8, 0], [0, 8], [8, 8], [7, 9], [7, 0], [0, 7], [8, 7], [6, 9], [6, 0], [0, 6], [8, 6], [5, 9]]","[[0, 0], [8, 0], [0, 8], [8, 8], [7, 9], [7, 0], [0, 7], [8, 7], [6, 9]]","[[0, 0], [8, 0], [0, 8], [8, 8], [7, 9]]",C,"[[0, 0], [8, 0], [0, 8], [8, 8], [7, 9], [7, 0], [0, 7], [8, 7], [6, 9]]","{""cap1"": 8, ""cap2"": 9, ""target"": 6, ""taxed"": false, ""path_length"": 9, ""has_taxed_distractor"": true}"
entropy_jugs_baseline_0005,entropy_jugs_baseline,baseline,"{""capacities"": [8, 9], ""target"": 2, ""start"": [0, 0]}","You are playing the classic Water Jug puzzle.
Rules — allowed moves:
  - Fill a jug from the tap (fills it to full capacity).
  - Empty a jug (drains it completely to 0).
  - Pour from one jug to the other (transfers water exactly, no loss).
Goal: reach the exact target volume in either jug using the fewest moves.

Puzzle: Jug A capacity: 8L | Jug B capacity: 9L | Starting state: [0, 0] | Target: 2L in either jug

Each answer option is a JSON list of [Jug_A, Jug_B] states representing the sequence of jug states from start to the goal state.
Which option shows the correct (shortest) solution sequence?
Note: one option shows the path obtained by applying Entropy Jugs rules (1-unit evaporation tax on pours).","[[0, 0], [0, 9], [8, 1], [0, 1], [1, 0], [1, 9], [8, 2], [0, 2], [2, 0], [2, 9], [8, 3]]","[[0, 0], [0, 9], [8, 1]]","[[0, 0], [8, 0], [0, 7], [6, 0], [0, 5], [4, 0], [0, 3], [2, 0]]","[[0, 0], [0, 9], [8, 1], [0, 1], [1, 0], [1, 9], [8, 2]]",D,"[[0, 0], [0, 9], [8, 1], [0, 1], [1, 0], [1, 9], [8, 2]]","{""cap1"": 8, ""cap2"": 9, ""target"": 2, ""taxed"": false, ""path_length"": 7, ""has_taxed_distractor"": true}"
entropy_jugs_baseline_0006,entropy_jugs_baseline,baseline,"{""capacities"": [3, 5], ""target"": 4, ""start"": [0, 0]}","You are playing the classic Water Jug puzzle.
Rules — allowed moves:
  - Fill a jug from the tap (fills it to full capacity).
  - Empty a jug (drains it completely to 0).
  - Pour from one jug to the other (transfers water exactly, no loss).
Goal: reach the exact target volume in either jug using the fewest moves.

Puzzle: Jug A capacity: 3L | Jug B capacity: 5L | Starting state: [0, 0] | Target: 4L in either jug

Each answer option is a JSON list of [Jug_A, Jug_B] states representing the sequence of jug states from start to the goal state.
Which option shows the correct (shortest) solution sequence?
Note: one option shows the path obtained by applying Entropy Jugs rules (1-unit evaporation tax on pours).","[[0, 0], [3, 0]]","[[0, 0], [0, 5], [3, 2]]","[[0, 0], [3, 0], [0, 2], [3, 2], [0, 4]]","[[0, 0], [0, 5], [3, 2], [0, 2], [2, 0], [2, 5], [3, 4]]",D,"[[0, 0], [0, 5], [3, 2], [0, 2], [2, 0], [2, 5], [3, 4]]","{""cap1"": 3, ""cap2"": 5, ""target"": 4, ""taxed"": false, ""path_length"": 7, ""has_taxed_distractor"": true}"
entropy_jugs_baseline_0007,entropy_jugs_baseline,baseline,"{""capacities"": [7, 8], ""target"": 5, ""start"": [0, 0]}","You are playing the classic Water Jug puzzle.
Rules — allowed moves:
  - Fill a jug from the tap (fills it to full capacity).
  - Empty a jug (drains it completely to 0).
  - Pour from one jug to the other (transfers water exactly, no loss).
Goal: reach the exact target volume in either jug using the fewest moves.

Puzzle: Jug A capacity: 7L | Jug B capacity: 8L | Starting state: [0, 0] | Target: 5L in either jug

Each answer option is a JSON list of [Jug_A, Jug_B] states representing the sequence of jug states from start to the goal state.
Which option shows the correct (shortest) solution sequence?
Note: one option shows the path obtained by applying Entropy Jugs rules (1-unit evaporation tax on pours).","[[0, 0], [7, 0], [0, 7], [7, 7], [6, 8], [6, 0], [0, 6], [7, 6], [5, 8], [5, 0], [0, 5], [7, 5], [4, 8]]","[[0, 0], [7, 0], [0, 7], [7, 7], [6, 8], [6, 0], [0, 6], [7, 6], [5, 8]]","[[0, 0], [7, 0], [0, 7], [7, 7], [6, 8]]","[[0, 0], [7, 0], [0, 6], [5, 0]]",B,"[[0, 0], [7, 0], [0, 7], [7, 7], [6, 8], [6, 0], [0, 6], [7, 6], [5, 8]]","{""cap1"": 7, ""cap2"": 8, ""target"": 5, ""taxed"": false, ""path_length"": 9, ""has_taxed_distractor"": true}"
entropy_jugs_baseline_0008,entropy_jugs_baseline,baseline,"{""capacities"": [6, 7], ""target"": 4, ""start"": [0, 0]}","You are playing the classic Water Jug puzzle.
Rules — allowed moves:
  - Fill a jug from the tap (fills it to full capacity).
  - Empty a jug (drains it completely to 0).
  - Pour from one jug to the other (transfers water exactly, no loss).
Goal: reach the exact target volume in either jug using the fewest moves.

Puzzle: Jug A capacity: 6L | Jug B capacity: 7L | Starting state: [0, 0] | Target: 4L in either jug

Each answer option is a JSON list of [Jug_A, Jug_B] states representing the sequence of jug states from start to the goal state.
Which option shows the correct (shortest) solution sequence?
Note: one option shows the path obtained by applying Entropy Jugs rules (1-unit evaporation tax on pours).","[[0, 0], [0, 7], [6, 1], [0, 1], [1, 0], [1, 7], [6, 2], [0, 2], [2, 0], [2, 7], [6, 3]]","[[0, 0], [6, 0], [0, 5], [4, 0]]","[[0, 0], [6, 0], [0, 6], [6, 6], [5, 7], [5, 0], [0, 5], [6, 5], [4, 7]]","[[0, 0], [6, 0], [0, 6], [6, 6], [5, 7]]",C,"[[0, 0], [6, 0], [0, 6], [6, 6], [5, 7], [5, 0], [0, 5], [6, 5], [4, 7]]","{""cap1"": 6, ""cap2"": 7, ""target"": 4, ""taxed"": false, ""path_length"": 9, ""has_taxed_distractor"": true}"
entropy_jugs_baseline_0009,entropy_jugs_baseline,baseline,"{""capacities"": [5, 6], ""target"": 3, ""start"": [0, 0]}","You are playing the classic Water Jug puzzle.
Rules — allowed moves:
  - Fill a jug from the tap (fills it to full capacity).
  - Empty a jug (drains it completely to 0).
  - Pour from one jug to the other (transfers water exactly, no loss).
Goal: reach the exact target volume in either jug using the fewest moves.

Puzzle: Jug A capacity: 5L | Jug B capacity: 6L | Starting state: [0, 0] | Target: 3L in either jug

Each answer option is a JSON list of [Jug_A, Jug_B] states representing the sequence of jug states from start to the goal state.
Which option shows the correct (shortest) solution sequence?
Note: one option shows the path obtained by applying Entropy Jugs rules (1-unit evaporation tax on pours).","[[0, 0], [5, 0], [0, 4], [3, 0]]","[[0, 0], [0, 6], [5, 1], [0, 1], [1, 0], [1, 6], [5, 2]]","[[0, 0], [5, 0], [0, 5], [5, 5], [4, 6]]","[[0, 0], [5, 0], [0, 5], [5, 5], [4, 6], [4, 0], [0, 4], [5, 4], [3, 6]]",D,"[[0, 0], [5, 0], [0, 5], [5, 5], [4, 6], [4, 0], [0, 4], [5, 4], [3, 6]]","{""cap1"": 5, ""cap2"": 6, ""target"": 3, ""taxed"": false, ""path_length"": 9, ""has_taxed_distractor"": true}"
entropy_jugs_baseline_0010,entropy_jugs_baseline,baseline,"{""capacities"": [6, 7], ""target"": 2, ""start"": [0, 0]}","You are playing the classic Water Jug puzzle.
Rules — allowed moves:
  - Fill a jug from the tap (fills it to full capacity).
  - Empty a jug (drains it completely to 0).
  - Pour from one jug to the other (transfers water exactly, no loss).
Goal: reach the exact target volume in either jug using the fewest moves.

Puzzle: Jug A capacity: 6L | Jug B capacity: 7L | Starting state: [0, 0] | Target: 2L in either jug

Each answer option is a JSON list of [Jug_A, Jug_B] states representing the sequence of jug states from start to the goal state.
Which option shows the correct (shortest) solution sequence?
Note: one option shows the path obtained by applying Entropy Jugs rules (1-unit evaporation tax on pours).","[[0, 0], [0, 7], [6, 1], [0, 1], [1, 0], [1, 7], [6, 2]]","[[0, 0], [0, 7], [6, 1], [0, 1], [1, 0], [1, 7], [6, 2], [0, 2], [2, 0], [2, 7], [6, 3]]","[[0, 0], [6, 0], [0, 5], [4, 0], [0, 3], [2, 0]]","[[0, 0], [0, 7], [6, 1]]",A,"[[0, 0], [0, 7], [6, 1], [0, 1], [1, 0], [1, 7], [6, 2]]","{""cap1"": 6, ""cap2"": 7, ""target"": 2, ""taxed"": false, ""path_length"": 7, ""has_taxed_distractor"": true}"
