id,rule,state,puzzle,question,option_A,option_B,option_C,option_D,correct_option,correct_answer,params
game24_cf2_each_operator_once_0001,game24_cf2_each_operator_once,counterfactual,"{""numbers"": [1, 5, 2, 4], ""target"": 24}","Solve the following Game-of-24 puzzle with a structural constraint.
Rules:
  - Four numbers; use each exactly once.
  - Combine with + − × ÷ and parentheses; division must be exact at each step.
  - The three operator slots must use **three pairwise-different** symbols (so one of +, −, ×, ÷ does not appear, but no operator is repeated).
  - The expression must evaluate to 24.

Numbers: 1, 5, 2, 4
Which expression — using **three different** operators — reaches 24?",((2 − 1) × 5) × 4,(4 × (2 − (1 − 5))),((2 − 1) + 5) × 4,((2 ÷ 1) + 5) × 4,C,((2 − 1) + 5) × 4,"{""numbers"": [1, 5, 2, 4], ""target"": 24, ""has_wrong_rule_distractor"": true}"
game24_cf2_each_operator_once_0002,game24_cf2_each_operator_once,counterfactual,"{""numbers"": [7, 5, 1, 3], ""target"": 24}","Solve the following Game-of-24 puzzle with a structural constraint.
Rules:
  - Four numbers; use each exactly once.
  - Combine with + − × ÷ and parentheses; division must be exact at each step.
  - The three operator slots must use **three pairwise-different** symbols (so one of +, −, ×, ÷ does not appear, but no operator is repeated).
  - The expression must evaluate to 24.

Numbers: 7, 5, 1, 3
Which expression — using **three different** operators — reaches 24?",(5 − 1) × (7 − 3),(5 + 1) × (7 + 3),(5 + 1) × (7 − 3),(5 ÷ 1) × (7 − 3),C,(5 + 1) × (7 − 3),"{""numbers"": [7, 5, 1, 3], ""target"": 24, ""has_wrong_rule_distractor"": false}"
game24_cf2_each_operator_once_0003,game24_cf2_each_operator_once,counterfactual,"{""numbers"": [8, 4, 9, 4], ""target"": 24}","Solve the following Game-of-24 puzzle with a structural constraint.
Rules:
  - Four numbers; use each exactly once.
  - Combine with + − × ÷ and parentheses; division must be exact at each step.
  - The three operator slots must use **three pairwise-different** symbols (so one of +, −, ×, ÷ does not appear, but no operator is repeated).
  - The expression must evaluate to 24.

Numbers: 8, 4, 9, 4
Which expression — using **three different** operators — reaches 24?",(4 × 9) ÷ (4 + 8),(4 × 9) − (4 + 8),(4 × 9) − (4 − 8),(4 × 9) − (4 × 8),B,(4 × 9) − (4 + 8),"{""numbers"": [8, 4, 9, 4], ""target"": 24, ""has_wrong_rule_distractor"": false}"
game24_cf2_each_operator_once_0004,game24_cf2_each_operator_once,counterfactual,"{""numbers"": [9, 6, 9, 4], ""target"": 24}","Solve the following Game-of-24 puzzle with a structural constraint.
Rules:
  - Four numbers; use each exactly once.
  - Combine with + − × ÷ and parentheses; division must be exact at each step.
  - The three operator slots must use **three pairwise-different** symbols (so one of +, −, ×, ÷ does not appear, but no operator is repeated).
  - The expression must evaluate to 24.

Numbers: 9, 6, 9, 4
Which expression — using **three different** operators — reaches 24?",((9 − 9) + 4) + 6,((9 − 9) + 4) × 6,((9 × 9) + 4) × 6,((9 − 9) + 4) − 6,B,((9 − 9) + 4) × 6,"{""numbers"": [9, 6, 9, 4], ""target"": 24, ""has_wrong_rule_distractor"": false}"
game24_cf2_each_operator_once_0005,game24_cf2_each_operator_once,counterfactual,"{""numbers"": [1, 6, 2, 5], ""target"": 24}","Solve the following Game-of-24 puzzle with a structural constraint.
Rules:
  - Four numbers; use each exactly once.
  - Combine with + − × ÷ and parentheses; division must be exact at each step.
  - The three operator slots must use **three pairwise-different** symbols (so one of +, −, ×, ÷ does not appear, but no operator is repeated).
  - The expression must evaluate to 24.

Numbers: 1, 6, 2, 5
Which expression — using **three different** operators — reaches 24?",((5 × 2) + 1) × 6,((5 − 2) − 1) × 6,(2 × (5 + (1 + 6))),((5 − 2) + 1) × 6,D,((5 − 2) + 1) × 6,"{""numbers"": [1, 6, 2, 5], ""target"": 24, ""has_wrong_rule_distractor"": true}"
game24_cf2_each_operator_once_0006,game24_cf2_each_operator_once,counterfactual,"{""numbers"": [8, 6, 4, 7], ""target"": 24}","Solve the following Game-of-24 puzzle with a structural constraint.
Rules:
  - Four numbers; use each exactly once.
  - Combine with + − × ÷ and parentheses; division must be exact at each step.
  - The three operator slots must use **three pairwise-different** symbols (so one of +, −, ×, ÷ does not appear, but no operator is repeated).
  - The expression must evaluate to 24.

Numbers: 8, 6, 4, 7
Which expression — using **three different** operators — reaches 24?",(4 ÷ (8 − 7)) − 6,(4 + (8 − 7)) × 6,(4 ÷ (8 − 7)) × 6,((8 − 7) × (6 × 4)),C,(4 ÷ (8 − 7)) × 6,"{""numbers"": [8, 6, 4, 7], ""target"": 24, ""has_wrong_rule_distractor"": true}"
game24_cf2_each_operator_once_0007,game24_cf2_each_operator_once,counterfactual,"{""numbers"": [9, 8, 4, 7], ""target"": 24}","Solve the following Game-of-24 puzzle with a structural constraint.
Rules:
  - Four numbers; use each exactly once.
  - Combine with + − × ÷ and parentheses; division must be exact at each step.
  - The three operator slots must use **three pairwise-different** symbols (so one of +, −, ×, ÷ does not appear, but no operator is repeated).
  - The expression must evaluate to 24.

Numbers: 9, 8, 4, 7
Which expression — using **three different** operators — reaches 24?",((7 + 8) − 9) × 4,(4 × (7 − (9 − 8))),((7 + 8) × 9) × 4,((7 − 8) − 9) × 4,A,((7 + 8) − 9) × 4,"{""numbers"": [9, 8, 4, 7], ""target"": 24, ""has_wrong_rule_distractor"": true}"
game24_cf2_each_operator_once_0008,game24_cf2_each_operator_once,counterfactual,"{""numbers"": [4, 2, 5, 4], ""target"": 24}","Solve the following Game-of-24 puzzle with a structural constraint.
Rules:
  - Four numbers; use each exactly once.
  - Combine with + − × ÷ and parentheses; division must be exact at each step.
  - The three operator slots must use **three pairwise-different** symbols (so one of +, −, ×, ÷ does not appear, but no operator is repeated).
  - The expression must evaluate to 24.

Numbers: 4, 2, 5, 4
Which expression — using **three different** operators — reaches 24?",((2 + 5) × 4) − 4,((2 + 5) × 4) × 4,((2 + 5) × 4) + 4,((2 × 5) × 4) − 4,A,((2 + 5) × 4) − 4,"{""numbers"": [4, 2, 5, 4], ""target"": 24, ""has_wrong_rule_distractor"": false}"
game24_cf2_each_operator_once_0009,game24_cf2_each_operator_once,counterfactual,"{""numbers"": [3, 8, 9, 8], ""target"": 24}","Solve the following Game-of-24 puzzle with a structural constraint.
Rules:
  - Four numbers; use each exactly once.
  - Combine with + − × ÷ and parentheses; division must be exact at each step.
  - The three operator slots must use **three pairwise-different** symbols (so one of +, −, ×, ÷ does not appear, but no operator is repeated).
  - The expression must evaluate to 24.

Numbers: 3, 8, 9, 8
Which expression — using **three different** operators — reaches 24?",(3 × 8) ÷ (9 − 8),(3 + 8) ÷ (9 − 8),(3 − 8) ÷ (9 − 8),((3 × 8) × (9 − 8)),A,(3 × 8) ÷ (9 − 8),"{""numbers"": [3, 8, 9, 8], ""target"": 24, ""has_wrong_rule_distractor"": true}"
game24_cf2_each_operator_once_0010,game24_cf2_each_operator_once,counterfactual,"{""numbers"": [4, 7, 1, 6], ""target"": 24}","Solve the following Game-of-24 puzzle with a structural constraint.
Rules:
  - Four numbers; use each exactly once.
  - Combine with + − × ÷ and parentheses; division must be exact at each step.
  - The three operator slots must use **three pairwise-different** symbols (so one of +, −, ×, ÷ does not appear, but no operator is repeated).
  - The expression must evaluate to 24.

Numbers: 4, 7, 1, 6
Which expression — using **three different** operators — reaches 24?",((7 × 4) + 1) × 6,(6 × (1 − (4 − 7))),((7 − 4) + 1) × 6,((7 − 4) ÷ 1) × 6,C,((7 − 4) + 1) × 6,"{""numbers"": [4, 7, 1, 6], ""target"": 24, ""has_wrong_rule_distractor"": true}"
game24_cf2_each_operator_once_0011,game24_cf2_each_operator_once,counterfactual,"{""numbers"": [8, 2, 1, 9], ""target"": 24}","Solve the following Game-of-24 puzzle with a structural constraint.
Rules:
  - Four numbers; use each exactly once.
  - Combine with + − × ÷ and parentheses; division must be exact at each step.
  - The three operator slots must use **three pairwise-different** symbols (so one of +, −, ×, ÷ does not appear, but no operator is repeated).
  - The expression must evaluate to 24.

Numbers: 8, 2, 1, 9
Which expression — using **three different** operators — reaches 24?",(2 × (9 − 1)) + 8,((8 × 2) − (1 − 9)),(2 + (9 − 1)) + 8,(2 × (9 − 1)) − 8,A,(2 × (9 − 1)) + 8,"{""numbers"": [8, 2, 1, 9], ""target"": 24, ""has_wrong_rule_distractor"": true}"
game24_cf2_each_operator_once_0012,game24_cf2_each_operator_once,counterfactual,"{""numbers"": [6, 8, 9, 1], ""target"": 24}","Solve the following Game-of-24 puzzle with a structural constraint.
Rules:
  - Four numbers; use each exactly once.
  - Combine with + − × ÷ and parentheses; division must be exact at each step.
  - The three operator slots must use **three pairwise-different** symbols (so one of +, −, ×, ÷ does not appear, but no operator is repeated).
  - The expression must evaluate to 24.

Numbers: 6, 8, 9, 1
Which expression — using **three different** operators — reaches 24?",((6 + 8) + (9 + 1)),(8 × (9 − 6)) + 1,(8 × (9 − 6)) ÷ 1,(8 + (9 − 6)) ÷ 1,C,(8 × (9 − 6)) ÷ 1,"{""numbers"": [6, 8, 9, 1], ""target"": 24, ""has_wrong_rule_distractor"": true}"
game24_cf2_each_operator_once_0013,game24_cf2_each_operator_once,counterfactual,"{""numbers"": [8, 3, 5, 1], ""target"": 24}","Solve the following Game-of-24 puzzle with a structural constraint.
Rules:
  - Four numbers; use each exactly once.
  - Combine with + − × ÷ and parentheses; division must be exact at each step.
  - The three operator slots must use **three pairwise-different** symbols (so one of +, −, ×, ÷ does not appear, but no operator is repeated).
  - The expression must evaluate to 24.

Numbers: 8, 3, 5, 1
Which expression — using **three different** operators — reaches 24?",8 × ((5 − 3) ÷ 1),8 × ((5 × 3) + 1),8 × ((5 − 3) + 1),((5 × (8 − 3)) − 1),C,8 × ((5 − 3) + 1),"{""numbers"": [8, 3, 5, 1], ""target"": 24, ""has_wrong_rule_distractor"": true}"
