id,rule,state,puzzle,question,correct_answer,params
countdown_cf2_no_subtraction_0001,countdown_cf2_no_subtraction,counterfactual,"{""numbers"": [7, 6, 2, 9, 3, 8], ""target"": 200}","Solve the following Countdown-style puzzle.
Rule change: subtraction is **forbidden**.
  - Allowed operators: +, ×, ÷ only (the − symbol may not appear anywhere).
  - Six numbers, subset allowed (each at most once).
  - Every intermediate division must yield an exact integer.

Numbers: 7, 6, 2, 9, 3, 8
Target: 200",(8 × (7 + (6 × 3))),"{""numbers"": [7, 6, 2, 9, 3, 8], ""target"": 200, ""has_wrong_rule_distractor"": false}"
countdown_cf2_no_subtraction_0002,countdown_cf2_no_subtraction,counterfactual,"{""numbers"": [3, 4, 5, 4, 9, 8], ""target"": 396}","Solve the following Countdown-style puzzle.
Rule change: subtraction is **forbidden**.
  - Allowed operators: +, ×, ÷ only (the − symbol may not appear anywhere).
  - Six numbers, subset allowed (each at most once).
  - Every intermediate division must yield an exact integer.

Numbers: 3, 4, 5, 4, 9, 8
Target: 396",((3 + 8) × (4 × 9)),"{""numbers"": [3, 4, 5, 4, 9, 8], ""target"": 396, ""has_wrong_rule_distractor"": false}"
countdown_cf2_no_subtraction_0003,countdown_cf2_no_subtraction,counterfactual,"{""numbers"": [5, 7, 5, 9, 8, 9], ""target"": 266}","Solve the following Countdown-style puzzle.
Rule change: subtraction is **forbidden**.
  - Allowed operators: +, ×, ÷ only (the − symbol may not appear anywhere).
  - Six numbers, subset allowed (each at most once).
  - Every intermediate division must yield an exact integer.

Numbers: 5, 7, 5, 9, 8, 9
Target: 266",(5 + (9 × ((5 + 7) + (9 + 8)))),"{""numbers"": [5, 7, 5, 9, 8, 9], ""target"": 266, ""has_wrong_rule_distractor"": true}"
countdown_cf2_no_subtraction_0004,countdown_cf2_no_subtraction,counterfactual,"{""numbers"": [6, 8, 4, 9, 2, 6], ""target"": 632}","Solve the following Countdown-style puzzle.
Rule change: subtraction is **forbidden**.
  - Allowed operators: +, ×, ÷ only (the − symbol may not appear anywhere).
  - Six numbers, subset allowed (each at most once).
  - Every intermediate division must yield an exact integer.

Numbers: 6, 8, 4, 9, 2, 6
Target: 632",((2 + 6) + ((6 × 8) × (4 + 9))),"{""numbers"": [6, 8, 4, 9, 2, 6], ""target"": 632, ""has_wrong_rule_distractor"": true}"
countdown_cf2_no_subtraction_0005,countdown_cf2_no_subtraction,counterfactual,"{""numbers"": [7, 6, 5, 2, 5, 3], ""target"": 207}","Solve the following Countdown-style puzzle.
Rule change: subtraction is **forbidden**.
  - Allowed operators: +, ×, ÷ only (the − symbol may not appear anywhere).
  - Six numbers, subset allowed (each at most once).
  - Every intermediate division must yield an exact integer.

Numbers: 7, 6, 5, 2, 5, 3
Target: 207",(2 + (5 × (6 + (7 × 5)))),"{""numbers"": [7, 6, 5, 2, 5, 3], ""target"": 207, ""has_wrong_rule_distractor"": true}"
countdown_cf2_no_subtraction_0006,countdown_cf2_no_subtraction,counterfactual,"{""numbers"": [3, 2, 5, 3, 2, 7], ""target"": 192}","Solve the following Countdown-style puzzle.
Rule change: subtraction is **forbidden**.
  - Allowed operators: +, ×, ÷ only (the − symbol may not appear anywhere).
  - Six numbers, subset allowed (each at most once).
  - Every intermediate division must yield an exact integer.

Numbers: 3, 2, 5, 3, 2, 7
Target: 192",((2 × (5 + 3)) × (7 + (3 + 2))),"{""numbers"": [3, 2, 5, 3, 2, 7], ""target"": 192, ""has_wrong_rule_distractor"": true}"
countdown_cf2_no_subtraction_0007,countdown_cf2_no_subtraction,counterfactual,"{""numbers"": [3, 8, 7, 6, 5, 7], ""target"": 364}","Solve the following Countdown-style puzzle.
Rule change: subtraction is **forbidden**.
  - Allowed operators: +, ×, ÷ only (the − symbol may not appear anywhere).
  - Six numbers, subset allowed (each at most once).
  - Every intermediate division must yield an exact integer.

Numbers: 3, 8, 7, 6, 5, 7
Target: 364",((8 + 6) × (5 + (3 × 7))),"{""numbers"": [3, 8, 7, 6, 5, 7], ""target"": 364, ""has_wrong_rule_distractor"": false}"
countdown_cf2_no_subtraction_0008,countdown_cf2_no_subtraction,counterfactual,"{""numbers"": [4, 6, 4, 9, 8, 2], ""target"": 234}","Solve the following Countdown-style puzzle.
Rule change: subtraction is **forbidden**.
  - Allowed operators: +, ×, ÷ only (the − symbol may not appear anywhere).
  - Six numbers, subset allowed (each at most once).
  - Every intermediate division must yield an exact integer.

Numbers: 4, 6, 4, 9, 8, 2
Target: 234",(9 × (2 + (4 × 6))),"{""numbers"": [4, 6, 4, 9, 8, 2], ""target"": 234, ""has_wrong_rule_distractor"": true}"
countdown_cf2_no_subtraction_0009,countdown_cf2_no_subtraction,counterfactual,"{""numbers"": [3, 8, 5, 6, 2, 8], ""target"": 121}","Solve the following Countdown-style puzzle.
Rule change: subtraction is **forbidden**.
  - Allowed operators: +, ×, ÷ only (the − symbol may not appear anywhere).
  - Six numbers, subset allowed (each at most once).
  - Every intermediate division must yield an exact integer.

Numbers: 3, 8, 5, 6, 2, 8
Target: 121",((3 + 8) × (5 + 6)),"{""numbers"": [3, 8, 5, 6, 2, 8], ""target"": 121, ""has_wrong_rule_distractor"": false}"
countdown_cf2_no_subtraction_0010,countdown_cf2_no_subtraction,counterfactual,"{""numbers"": [6, 8, 7, 8, 6, 4], ""target"": 316}","Solve the following Countdown-style puzzle.
Rule change: subtraction is **forbidden**.
  - Allowed operators: +, ×, ÷ only (the − symbol may not appear anywhere).
  - Six numbers, subset allowed (each at most once).
  - Every intermediate division must yield an exact integer.

Numbers: 6, 8, 7, 8, 6, 4
Target: 316",((8 × 8) + (6 × (6 × 7))),"{""numbers"": [6, 8, 7, 8, 6, 4], ""target"": 316, ""has_wrong_rule_distractor"": false}"
