id,game,variant,n,params,initial_state,goal_state,solution,num_moves
checker_cf1_asymmetric_n2_k1,checker_jumping,cf1_asymmetric,2,"{""n_red"": 2, ""n_blue"": 3, ""k"": 1, ""n_empty"": 1, ""jump_distance"": 1}","[""R"", ""R"", ""_"", ""B"", ""B"", ""B""]","[""B"", ""B"", ""B"", ""_"", ""R"", ""R""]","[[""R"", 1, 2], [""B"", 3, 1], [""B"", 4, 3], [""R"", 2, 4], [""R"", 0, 2], [""B"", 1, 0], [""B"", 3, 1], [""B"", 5, 3], [""R"", 4, 5], [""R"", 2, 4], [""B"", 3, 2]]",11
checker_cf1_asymmetric_n2_k3,checker_jumping,cf1_asymmetric,2,"{""n_red"": 2, ""n_blue"": 5, ""k"": 3, ""n_empty"": 1, ""jump_distance"": 1}","[""R"", ""R"", ""_"", ""B"", ""B"", ""B"", ""B"", ""B""]","[""B"", ""B"", ""B"", ""B"", ""B"", ""_"", ""R"", ""R""]","[[""R"", 1, 2], [""B"", 3, 1], [""B"", 4, 3], [""R"", 2, 4], [""R"", 0, 2], [""B"", 1, 0], [""B"", 3, 1], [""B"", 5, 3], [""B"", 6, 5], [""R"", 4, 6], [""R"", 2, 4], [""B"", 3, 2], [""B"", 5, 3], [""B"", 7, 5], [""R"", 6, 7], [""R"", 4, 6], [""B"", 5, 4]]",17
checker_cf1_asymmetric_n2_k5,checker_jumping,cf1_asymmetric,2,"{""n_red"": 2, ""n_blue"": 7, ""k"": 5, ""n_empty"": 1, ""jump_distance"": 1}","[""R"", ""R"", ""_"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]","[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""_"", ""R"", ""R""]","[[""R"", 1, 2], [""B"", 3, 1], [""B"", 4, 3], [""R"", 2, 4], [""R"", 0, 2], [""B"", 1, 0], [""B"", 3, 1], [""B"", 5, 3], [""B"", 6, 5], [""R"", 4, 6], [""R"", 2, 4], [""B"", 3, 2], [""B"", 5, 3], [""B"", 7, 5], [""B"", 8, 7], [""R"", 6, 8], [""R"", 4, 6], [""B"", 5, 4], [""B"", 7, 5], [""B"", 9, 7], [""R"", 8, 9], [""R"", 6, 8], [""B"", 7, 6]]",23
checker_cf1_asymmetric_n3_k1,checker_jumping,cf1_asymmetric,3,"{""n_red"": 3, ""n_blue"": 4, ""k"": 1, ""n_empty"": 1, ""jump_distance"": 1}","[""R"", ""R"", ""R"", ""_"", ""B"", ""B"", ""B"", ""B""]","[""B"", ""B"", ""B"", ""B"", ""_"", ""R"", ""R"", ""R""]","[[""R"", 2, 3], [""B"", 4, 2], [""B"", 5, 4], [""R"", 3, 5], [""R"", 1, 3], [""R"", 0, 1], [""B"", 2, 0], [""B"", 4, 2], [""B"", 6, 4], [""B"", 7, 6], [""R"", 5, 7], [""R"", 3, 5], [""R"", 1, 3], [""B"", 2, 1], [""B"", 4, 2], [""B"", 6, 4], [""R"", 5, 6], [""R"", 3, 5], [""B"", 4, 3]]",19
checker_cf1_asymmetric_n3_k3,checker_jumping,cf1_asymmetric,3,"{""n_red"": 3, ""n_blue"": 6, ""k"": 3, ""n_empty"": 1, ""jump_distance"": 1}","[""R"", ""R"", ""R"", ""_"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]","[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""_"", ""R"", ""R"", ""R""]","[[""R"", 2, 3], [""B"", 4, 2], [""B"", 5, 4], [""R"", 3, 5], [""R"", 1, 3], [""R"", 0, 1], [""B"", 2, 0], [""B"", 4, 2], [""B"", 6, 4], [""B"", 7, 6], [""R"", 5, 7], [""R"", 3, 5], [""R"", 1, 3], [""B"", 2, 1], [""B"", 4, 2], [""B"", 6, 4], [""B"", 8, 6], [""B"", 9, 8], [""R"", 7, 9], [""R"", 5, 7], [""R"", 3, 5], [""B"", 4, 3], [""B"", 6, 4], [""B"", 8, 6], [""R"", 7, 8], [""R"", 5, 7], [""B"", 6, 5]]",27
checker_cf1_asymmetric_n3_k5,checker_jumping,cf1_asymmetric,3,"{""n_red"": 3, ""n_blue"": 8, ""k"": 5, ""n_empty"": 1, ""jump_distance"": 1}","[""R"", ""R"", ""R"", ""_"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]","[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""_"", ""R"", ""R"", ""R""]","[[""R"", 2, 3], [""B"", 4, 2], [""B"", 5, 4], [""R"", 3, 5], [""R"", 1, 3], [""R"", 0, 1], [""B"", 2, 0], [""B"", 4, 2], [""B"", 6, 4], [""B"", 7, 6], [""R"", 5, 7], [""R"", 3, 5], [""R"", 1, 3], [""B"", 2, 1], [""B"", 4, 2], [""B"", 6, 4], [""B"", 8, 6], [""B"", 9, 8], [""R"", 7, 9], [""R"", 5, 7], [""R"", 3, 5], [""B"", 4, 3], [""B"", 6, 4], [""B"", 8, 6], [""B"", 10, 8], [""B"", 11, 10], [""R"", 9, 11], [""R"", 7, 9], [""R"", 5, 7], [""B"", 6, 5], [""B"", 8, 6], [""B"", 10, 8], [""R"", 9, 10], [""R"", 7, 9], [""B"", 8, 7]]",35
checker_cf1_asymmetric_n4_k1,checker_jumping,cf1_asymmetric,4,"{""n_red"": 4, ""n_blue"": 5, ""k"": 1, ""n_empty"": 1, ""jump_distance"": 1}","[""R"", ""R"", ""R"", ""R"", ""_"", ""B"", ""B"", ""B"", ""B"", ""B""]","[""B"", ""B"", ""B"", ""B"", ""B"", ""_"", ""R"", ""R"", ""R"", ""R""]","[[""R"", 3, 4], [""B"", 5, 3], [""B"", 6, 5], [""R"", 4, 6], [""R"", 2, 4], [""R"", 1, 2], [""B"", 3, 1], [""B"", 5, 3], [""B"", 7, 5], [""B"", 8, 7], [""R"", 6, 8], [""R"", 4, 6], [""R"", 2, 4], [""R"", 0, 2], [""B"", 1, 0], [""B"", 3, 1], [""B"", 5, 3], [""B"", 7, 5], [""B"", 9, 7], [""R"", 8, 9], [""R"", 6, 8], [""R"", 4, 6], [""R"", 2, 4], [""B"", 3, 2], [""B"", 5, 3], [""B"", 7, 5], [""R"", 6, 7], [""R"", 4, 6], [""B"", 5, 4]]",29
checker_cf1_asymmetric_n4_k3,checker_jumping,cf1_asymmetric,4,"{""n_red"": 4, ""n_blue"": 7, ""k"": 3, ""n_empty"": 1, ""jump_distance"": 1}","[""R"", ""R"", ""R"", ""R"", ""_"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]","[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""_"", ""R"", ""R"", ""R"", ""R""]","[[""R"", 3, 4], [""B"", 5, 3], [""B"", 6, 5], [""R"", 4, 6], [""R"", 2, 4], [""R"", 1, 2], [""B"", 3, 1], [""B"", 5, 3], [""B"", 7, 5], [""B"", 8, 7], [""R"", 6, 8], [""R"", 4, 6], [""R"", 2, 4], [""R"", 0, 2], [""B"", 1, 0], [""B"", 3, 1], [""B"", 5, 3], [""B"", 7, 5], [""B"", 9, 7], [""B"", 10, 9], [""R"", 8, 10], [""R"", 6, 8], [""R"", 4, 6], [""R"", 2, 4], [""B"", 3, 2], [""B"", 5, 3], [""B"", 7, 5], [""B"", 9, 7], [""B"", 11, 9], [""R"", 10, 11], [""R"", 8, 10], [""R"", 6, 8], [""R"", 4, 6], [""B"", 5, 4], [""B"", 7, 5], [""B"", 9, 7], [""R"", 8, 9], [""R"", 6, 8], [""B"", 7, 6]]",39
checker_cf1_asymmetric_n4_k5,checker_jumping,cf1_asymmetric,4,"{""n_red"": 4, ""n_blue"": 9, ""k"": 5, ""n_empty"": 1, ""jump_distance"": 1}","[""R"", ""R"", ""R"", ""R"", ""_"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]","[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""_"", ""R"", ""R"", ""R"", ""R""]","[[""R"", 3, 4], [""B"", 5, 3], [""B"", 6, 5], [""R"", 4, 6], [""R"", 2, 4], [""R"", 1, 2], [""B"", 3, 1], [""B"", 5, 3], [""B"", 7, 5], [""B"", 8, 7], [""R"", 6, 8], [""R"", 4, 6], [""R"", 2, 4], [""R"", 0, 2], [""B"", 1, 0], [""B"", 3, 1], [""B"", 5, 3], [""B"", 7, 5], [""B"", 9, 7], [""B"", 10, 9], [""R"", 8, 10], [""R"", 6, 8], [""R"", 4, 6], [""R"", 2, 4], [""B"", 3, 2], [""B"", 5, 3], [""B"", 7, 5], [""B"", 9, 7], [""B"", 11, 9], [""B"", 12, 11], [""R"", 10, 12], [""R"", 8, 10], [""R"", 6, 8], [""R"", 4, 6], [""B"", 5, 4], [""B"", 7, 5], [""B"", 9, 7], [""B"", 11, 9], [""B"", 13, 11], [""R"", 12, 13], [""R"", 10, 12], [""R"", 8, 10], [""R"", 6, 8], [""B"", 7, 6], [""B"", 9, 7], [""B"", 11, 9], [""R"", 10, 11], [""R"", 8, 10], [""B"", 9, 8]]",49
checker_cf1_asymmetric_n5_k1,checker_jumping,cf1_asymmetric,5,"{""n_red"": 5, ""n_blue"": 6, ""k"": 1, ""n_empty"": 1, ""jump_distance"": 1}","[""R"", ""R"", ""R"", ""R"", ""R"", ""_"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]","[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""_"", ""R"", ""R"", ""R"", ""R"", ""R""]","[[""R"", 4, 5], [""B"", 6, 4], [""B"", 7, 6], [""R"", 5, 7], [""R"", 3, 5], [""R"", 2, 3], [""B"", 4, 2], [""B"", 6, 4], [""B"", 8, 6], [""B"", 9, 8], [""R"", 7, 9], [""R"", 5, 7], [""R"", 3, 5], [""R"", 1, 3], [""R"", 0, 1], [""B"", 2, 0], [""B"", 4, 2], [""B"", 6, 4], [""B"", 8, 6], [""B"", 10, 8], [""B"", 11, 10], [""R"", 9, 11], [""R"", 7, 9], [""R"", 5, 7], [""R"", 3, 5], [""R"", 1, 3], [""B"", 2, 1], [""B"", 4, 2], [""B"", 6, 4], [""B"", 8, 6], [""B"", 10, 8], [""R"", 9, 10], [""R"", 7, 9], [""R"", 5, 7], [""R"", 3, 5], [""B"", 4, 3], [""B"", 6, 4], [""B"", 8, 6], [""R"", 7, 8], [""R"", 5, 7], [""B"", 6, 5]]",41
