id,rule,state,puzzle,question,correct_answer,params
countdown_cf3_use_all_numbers_0001,countdown_cf3_use_all_numbers,counterfactual,"{""numbers"": [6, 3, 6, 6, 4, 5], ""target"": 94}","Solve the following Countdown-style puzzle.
Rule change: you must use **all six** numbers exactly once.
  - Six numbers given; each must appear in your expression exactly once.
  - Combine with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer.

Numbers: 6, 3, 6, 6, 4, 5
Target: 94",(4 + (3 × (6 × (6 − (6 − 5))))),"{""numbers"": [6, 3, 6, 6, 4, 5], ""target"": 94, ""has_wrong_rule_distractor"": true}"
countdown_cf3_use_all_numbers_0002,countdown_cf3_use_all_numbers,counterfactual,"{""numbers"": [9, 2, 1, 9, 1, 2], ""target"": 81}","Solve the following Countdown-style puzzle.
Rule change: you must use **all six** numbers exactly once.
  - Six numbers given; each must appear in your expression exactly once.
  - Combine with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer.

Numbers: 9, 2, 1, 9, 1, 2
Target: 81",((9 − (1 − (2 ÷ 2))) × (9 ÷ 1)),"{""numbers"": [9, 2, 1, 9, 1, 2], ""target"": 81, ""has_wrong_rule_distractor"": true}"
countdown_cf3_use_all_numbers_0003,countdown_cf3_use_all_numbers,counterfactual,"{""numbers"": [6, 8, 8, 8, 4, 9], ""target"": 86}","Solve the following Countdown-style puzzle.
Rule change: you must use **all six** numbers exactly once.
  - Six numbers given; each must appear in your expression exactly once.
  - Combine with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer.

Numbers: 6, 8, 8, 8, 4, 9
Target: 86",((4 + (8 + 8)) − (6 − (8 × 9))),"{""numbers"": [6, 8, 8, 8, 4, 9], ""target"": 86, ""has_wrong_rule_distractor"": true}"
countdown_cf3_use_all_numbers_0004,countdown_cf3_use_all_numbers,counterfactual,"{""numbers"": [3, 9, 1, 7, 1, 2], ""target"": 150}","Solve the following Countdown-style puzzle.
Rule change: you must use **all six** numbers exactly once.
  - Six numbers given; each must appear in your expression exactly once.
  - Combine with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer.

Numbers: 3, 9, 1, 7, 1, 2
Target: 150",((1 × (7 − 2)) × (3 × (9 + 1))),"{""numbers"": [3, 9, 1, 7, 1, 2], ""target"": 150, ""has_wrong_rule_distractor"": true}"
countdown_cf3_use_all_numbers_0005,countdown_cf3_use_all_numbers,counterfactual,"{""numbers"": [7, 6, 1, 8, 6, 3], ""target"": 298}","Solve the following Countdown-style puzzle.
Rule change: you must use **all six** numbers exactly once.
  - Six numbers given; each must appear in your expression exactly once.
  - Combine with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer.

Numbers: 7, 6, 1, 8, 6, 3
Target: 298",((7 + (3 + (6 × (6 × 8)))) ÷ 1),"{""numbers"": [7, 6, 1, 8, 6, 3], ""target"": 298, ""has_wrong_rule_distractor"": true}"
countdown_cf3_use_all_numbers_0006,countdown_cf3_use_all_numbers,counterfactual,"{""numbers"": [6, 5, 5, 1, 7, 5], ""target"": 90}","Solve the following Countdown-style puzzle.
Rule change: you must use **all six** numbers exactly once.
  - Six numbers given; each must appear in your expression exactly once.
  - Combine with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer.

Numbers: 6, 5, 5, 1, 7, 5
Target: 90",((5 × (6 + 7)) + (5 × (5 × 1))),"{""numbers"": [6, 5, 5, 1, 7, 5], ""target"": 90, ""has_wrong_rule_distractor"": true}"
countdown_cf3_use_all_numbers_0007,countdown_cf3_use_all_numbers,counterfactual,"{""numbers"": [2, 8, 8, 2, 2, 6], ""target"": 83}","Solve the following Countdown-style puzzle.
Rule change: you must use **all six** numbers exactly once.
  - Six numbers given; each must appear in your expression exactly once.
  - Combine with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer.

Numbers: 2, 8, 8, 2, 2, 6
Target: 83",((6 + ((8 + 2) × (8 × 2))) ÷ 2),"{""numbers"": [2, 8, 8, 2, 2, 6], ""target"": 83, ""has_wrong_rule_distractor"": true}"
countdown_cf3_use_all_numbers_0008,countdown_cf3_use_all_numbers,counterfactual,"{""numbers"": [9, 1, 8, 4, 6, 8], ""target"": 288}","Solve the following Countdown-style puzzle.
Rule change: you must use **all six** numbers exactly once.
  - Six numbers given; each must appear in your expression exactly once.
  - Combine with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer.

Numbers: 9, 1, 8, 4, 6, 8
Target: 288",((9 × 8) × (4 ÷ (8 − (1 + 6)))),"{""numbers"": [9, 1, 8, 4, 6, 8], ""target"": 288, ""has_wrong_rule_distractor"": true}"
countdown_cf3_use_all_numbers_0009,countdown_cf3_use_all_numbers,counterfactual,"{""numbers"": [8, 1, 7, 6, 5, 1], ""target"": 55}","Solve the following Countdown-style puzzle.
Rule change: you must use **all six** numbers exactly once.
  - Six numbers given; each must appear in your expression exactly once.
  - Combine with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer.

Numbers: 8, 1, 7, 6, 5, 1
Target: 55",((8 × 7) − ((1 × 6) − (5 × 1))),"{""numbers"": [8, 1, 7, 6, 5, 1], ""target"": 55, ""has_wrong_rule_distractor"": true}"
countdown_cf3_use_all_numbers_0010,countdown_cf3_use_all_numbers,counterfactual,"{""numbers"": [1, 6, 7, 5, 1, 2], ""target"": 128}","Solve the following Countdown-style puzzle.
Rule change: you must use **all six** numbers exactly once.
  - Six numbers given; each must appear in your expression exactly once.
  - Combine with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer.

Numbers: 1, 6, 7, 5, 1, 2
Target: 128",((6 + (5 × 2)) × (1 + (7 ÷ 1))),"{""numbers"": [1, 6, 7, 5, 1, 2], ""target"": 128, ""has_wrong_rule_distractor"": true}"
countdown_cf3_use_all_numbers_0011,countdown_cf3_use_all_numbers,counterfactual,"{""numbers"": [9, 3, 7, 9, 8, 1], ""target"": 66}","Solve the following Countdown-style puzzle.
Rule change: you must use **all six** numbers exactly once.
  - Six numbers given; each must appear in your expression exactly once.
  - Combine with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer.

Numbers: 9, 3, 7, 9, 8, 1
Target: 66",(9 − ((1 − (7 × 9)) − (3 − 8))),"{""numbers"": [9, 3, 7, 9, 8, 1], ""target"": 66, ""has_wrong_rule_distractor"": true}"
countdown_cf3_use_all_numbers_0012,countdown_cf3_use_all_numbers,counterfactual,"{""numbers"": [2, 3, 7, 8, 9, 9], ""target"": 265}","Solve the following Countdown-style puzzle.
Rule change: you must use **all six** numbers exactly once.
  - Six numbers given; each must appear in your expression exactly once.
  - Combine with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer.

Numbers: 2, 3, 7, 8, 9, 9
Target: 265",((3 × 9) + (7 × (2 × (8 + 9)))),"{""numbers"": [2, 3, 7, 8, 9, 9], ""target"": 265, ""has_wrong_rule_distractor"": true}"
countdown_cf3_use_all_numbers_0013,countdown_cf3_use_all_numbers,counterfactual,"{""numbers"": [4, 9, 8, 6, 8, 2], ""target"": 112}","Solve the following Countdown-style puzzle.
Rule change: you must use **all six** numbers exactly once.
  - Six numbers given; each must appear in your expression exactly once.
  - Combine with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer.

Numbers: 4, 9, 8, 6, 8, 2
Target: 112",((6 × 2) − (8 − (9 × (4 + 8)))),"{""numbers"": [4, 9, 8, 6, 8, 2], ""target"": 112, ""has_wrong_rule_distractor"": true}"
countdown_cf3_use_all_numbers_0014,countdown_cf3_use_all_numbers,counterfactual,"{""numbers"": [9, 6, 4, 3, 2, 4], ""target"": 144}","Solve the following Countdown-style puzzle.
Rule change: you must use **all six** numbers exactly once.
  - Six numbers given; each must appear in your expression exactly once.
  - Combine with +, −, ×, ÷ and parentheses.
  - Every intermediate division must yield an exact integer.

Numbers: 9, 6, 4, 3, 2, 4
Target: 144",(2 × (4 × (3 − (9 − (6 × 4))))),"{""numbers"": [9, 6, 4, 3, 2, 4], ""target"": 144, ""has_wrong_rule_distractor"": true}"
