id,rule,state,puzzle,question,option_A,option_B,option_C,option_D,correct_option,correct_answer,params
cryptarithmetic_baseline_0001,cryptarithmetic_baseline,baseline,GFCD + FEC = BAEAF,"Solve the following cryptarithmetic puzzle using standard arithmetic (Base 10).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}.
  - Each letter represents a unique digit.
  - No multi-letter word may begin with 0.
  - Addition carries when a column sum reaches 10 (standard rule).
  - Subtraction borrows by adding 10 to the current digit (standard rule).

Equation:  GFCD + FEC = BAEAF

Which of the following letter-to-digit assignments is the correct solution?
Note: one option shows the solution obtained by applying Base-9 rules instead.","{""A"": 0, ""B"": 5, ""C"": 3, ""D"": 1, ""E"": 7, ""F"": 8, ""G"": 9}","{""A"": 0, ""B"": 9, ""C"": 3, ""D"": 5, ""E"": 7, ""F"": 8, ""G"": 1}","{""A"": 0, ""B"": 1, ""C"": 3, ""D"": 5, ""E"": 7, ""F"": 8, ""G"": 9}","{""A"": 0, ""B"": 1, ""C"": 3, ""D"": 4, ""E"": 6, ""F"": 7, ""G"": 8}",C,"{""A"": 0, ""B"": 1, ""C"": 3, ""D"": 5, ""E"": 7, ""F"": 8, ""G"": 9}","{""base"": 10, ""num_letters"": 7, ""equation"": ""GFCD + FEC = BAEAF"", ""has_base9_distractor"": true}"
cryptarithmetic_baseline_0002,cryptarithmetic_baseline,baseline,EDBF + DCCF = ACBAE,"Solve the following cryptarithmetic puzzle using standard arithmetic (Base 10).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}.
  - Each letter represents a unique digit.
  - No multi-letter word may begin with 0.
  - Addition carries when a column sum reaches 10 (standard rule).
  - Subtraction borrows by adding 10 to the current digit (standard rule).

Equation:  EDBF + DCCF = ACBAE

Which of the following letter-to-digit assignments is the correct solution?
Note: one option shows the solution obtained by applying Base-9 rules instead.","{""A"": 1, ""B"": 8, ""C"": 2, ""D"": 5, ""E"": 6, ""F"": 3}","{""A"": 1, ""B"": 4, ""C"": 6, ""D"": 8, ""E"": 7, ""F"": 9}","{""A"": 1, ""B"": 4, ""C"": 6, ""D"": 7, ""E"": 8, ""F"": 9}","{""A"": 7, ""B"": 4, ""C"": 6, ""D"": 1, ""E"": 8, ""F"": 9}",C,"{""A"": 1, ""B"": 4, ""C"": 6, ""D"": 7, ""E"": 8, ""F"": 9}","{""base"": 10, ""num_letters"": 6, ""equation"": ""EDBF + DCCF = ACBAE"", ""has_base9_distractor"": true}"
cryptarithmetic_baseline_0003,cryptarithmetic_baseline,baseline,GFAF + DBF = BABCE,"Solve the following cryptarithmetic puzzle using standard arithmetic (Base 10).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}.
  - Each letter represents a unique digit.
  - No multi-letter word may begin with 0.
  - Addition carries when a column sum reaches 10 (standard rule).
  - Subtraction borrows by adding 10 to the current digit (standard rule).

Equation:  GFAF + DBF = BABCE

Which of the following letter-to-digit assignments is the correct solution?
Note: one option shows the solution obtained by applying Base-9 rules instead.","{""A"": 0, ""B"": 1, ""C"": 2, ""D"": 4, ""E"": 3, ""F"": 6, ""G"": 8}","{""A"": 0, ""B"": 2, ""C"": 1, ""D"": 3, ""E"": 6, ""F"": 8, ""G"": 9}","{""A"": 2, ""B"": 1, ""C"": 0, ""D"": 3, ""E"": 6, ""F"": 8, ""G"": 9}","{""A"": 0, ""B"": 1, ""C"": 2, ""D"": 3, ""E"": 6, ""F"": 8, ""G"": 9}",D,"{""A"": 0, ""B"": 1, ""C"": 2, ""D"": 3, ""E"": 6, ""F"": 8, ""G"": 9}","{""base"": 10, ""num_letters"": 7, ""equation"": ""GFAF + DBF = BABCE"", ""has_base9_distractor"": true}"
cryptarithmetic_baseline_0004,cryptarithmetic_baseline,baseline,BBEE + FDED = BAECA,"Solve the following cryptarithmetic puzzle using standard arithmetic (Base 10).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}.
  - Each letter represents a unique digit.
  - No multi-letter word may begin with 0.
  - Addition carries when a column sum reaches 10 (standard rule).
  - Subtraction borrows by adding 10 to the current digit (standard rule).

Equation:  BBEE + FDED = BAECA

Which of the following letter-to-digit assignments is the correct solution?
Note: one option shows the solution obtained by applying Base-9 rules instead.","{""A"": 0, ""B"": 1, ""C"": 6, ""D"": 4, ""E"": 3, ""F"": 9}","{""A"": 0, ""B"": 1, ""C"": 3, ""D"": 9, ""E"": 6, ""F"": 4}","{""A"": 0, ""B"": 1, ""C"": 3, ""D"": 4, ""E"": 6, ""F"": 9}","{""A"": 4, ""B"": 1, ""C"": 3, ""D"": 0, ""E"": 6, ""F"": 9}",C,"{""A"": 0, ""B"": 1, ""C"": 3, ""D"": 4, ""E"": 6, ""F"": 9}","{""base"": 10, ""num_letters"": 6, ""equation"": ""BBEE + FDED = BAECA"", ""has_base9_distractor"": false}"
cryptarithmetic_baseline_0005,cryptarithmetic_baseline,baseline,GFCD + EGE = BADBG,"Solve the following cryptarithmetic puzzle using standard arithmetic (Base 10).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}.
  - Each letter represents a unique digit.
  - No multi-letter word may begin with 0.
  - Addition carries when a column sum reaches 10 (standard rule).
  - Subtraction borrows by adding 10 to the current digit (standard rule).

Equation:  GFCD + EGE = BADBG

Which of the following letter-to-digit assignments is the correct solution?
Note: one option shows the solution obtained by applying Base-9 rules instead.","{""A"": 8, ""B"": 1, ""C"": 2, ""D"": 4, ""E"": 5, ""F"": 0, ""G"": 9}","{""A"": 0, ""B"": 1, ""C"": 2, ""D"": 4, ""E"": 5, ""F"": 8, ""G"": 9}","{""A"": 0, ""B"": 1, ""C"": 2, ""D"": 3, ""E"": 5, ""F"": 6, ""G"": 8}","{""A"": 2, ""B"": 1, ""C"": 0, ""D"": 4, ""E"": 5, ""F"": 8, ""G"": 9}",B,"{""A"": 0, ""B"": 1, ""C"": 2, ""D"": 4, ""E"": 5, ""F"": 8, ""G"": 9}","{""base"": 10, ""num_letters"": 7, ""equation"": ""GFCD + EGE = BADBG"", ""has_base9_distractor"": true}"
cryptarithmetic_baseline_0006,cryptarithmetic_baseline,baseline,GDD + GECE = BADFB,"Solve the following cryptarithmetic puzzle using standard arithmetic (Base 10).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}.
  - Each letter represents a unique digit.
  - No multi-letter word may begin with 0.
  - Addition carries when a column sum reaches 10 (standard rule).
  - Subtraction borrows by adding 10 to the current digit (standard rule).

Equation:  GDD + GECE = BADFB

Which of the following letter-to-digit assignments is the correct solution?
Note: one option shows the solution obtained by applying Base-9 rules instead.","{""A"": 0, ""B"": 6, ""C"": 2, ""D"": 5, ""E"": 1, ""F"": 8, ""G"": 9}","{""A"": 0, ""B"": 1, ""C"": 2, ""D"": 8, ""E"": 6, ""F"": 5, ""G"": 9}","{""A"": 0, ""B"": 1, ""C"": 2, ""D"": 5, ""E"": 6, ""F"": 8, ""G"": 9}","{""A"": 0, ""B"": 1, ""C"": 2, ""D"": 9, ""E"": 6, ""F"": 8, ""G"": 5}",C,"{""A"": 0, ""B"": 1, ""C"": 2, ""D"": 5, ""E"": 6, ""F"": 8, ""G"": 9}","{""base"": 10, ""num_letters"": 7, ""equation"": ""GDD + GECE = BADFB"", ""has_base9_distractor"": false}"
cryptarithmetic_baseline_0007,cryptarithmetic_baseline,baseline,FCAB + FCAD = AEDBE,"Solve the following cryptarithmetic puzzle using standard arithmetic (Base 10).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}.
  - Each letter represents a unique digit.
  - No multi-letter word may begin with 0.
  - Addition carries when a column sum reaches 10 (standard rule).
  - Subtraction borrows by adding 10 to the current digit (standard rule).

Equation:  FCAB + FCAD = AEDBE

Which of the following letter-to-digit assignments is the correct solution?
Note: one option shows the solution obtained by applying Base-9 rules instead.","{""A"": 3, ""B"": 2, ""C"": 1, ""D"": 6, ""E"": 8, ""F"": 9}","{""A"": 1, ""B"": 2, ""C"": 9, ""D"": 6, ""E"": 8, ""F"": 3}","{""A"": 8, ""B"": 2, ""C"": 3, ""D"": 6, ""E"": 1, ""F"": 9}","{""A"": 1, ""B"": 2, ""C"": 3, ""D"": 6, ""E"": 8, ""F"": 9}",D,"{""A"": 1, ""B"": 2, ""C"": 3, ""D"": 6, ""E"": 8, ""F"": 9}","{""base"": 10, ""num_letters"": 6, ""equation"": ""FCAB + FCAD = AEDBE"", ""has_base9_distractor"": false}"
cryptarithmetic_baseline_0008,cryptarithmetic_baseline,baseline,FEBC + DCD = BACDA,"Solve the following cryptarithmetic puzzle using standard arithmetic (Base 10).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}.
  - Each letter represents a unique digit.
  - No multi-letter word may begin with 0.
  - Addition carries when a column sum reaches 10 (standard rule).
  - Subtraction borrows by adding 10 to the current digit (standard rule).

Equation:  FEBC + DCD = BACDA

Which of the following letter-to-digit assignments is the correct solution?
Note: one option shows the solution obtained by applying Base-9 rules instead.","{""A"": 0, ""B"": 1, ""C"": 4, ""D"": 6, ""E"": 9, ""F"": 8}","{""A"": 0, ""B"": 4, ""C"": 1, ""D"": 6, ""E"": 8, ""F"": 9}","{""A"": 0, ""B"": 9, ""C"": 4, ""D"": 6, ""E"": 8, ""F"": 1}","{""A"": 0, ""B"": 1, ""C"": 4, ""D"": 6, ""E"": 8, ""F"": 9}",D,"{""A"": 0, ""B"": 1, ""C"": 4, ""D"": 6, ""E"": 8, ""F"": 9}","{""base"": 10, ""num_letters"": 6, ""equation"": ""FEBC + DCD = BACDA"", ""has_base9_distractor"": false}"
cryptarithmetic_baseline_0009,cryptarithmetic_baseline,baseline,FECB + CDE = BAAFF,"Solve the following cryptarithmetic puzzle using standard arithmetic (Base 10).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}.
  - Each letter represents a unique digit.
  - No multi-letter word may begin with 0.
  - Addition carries when a column sum reaches 10 (standard rule).
  - Subtraction borrows by adding 10 to the current digit (standard rule).

Equation:  FECB + CDE = BAAFF

Which of the following letter-to-digit assignments is the correct solution?
Note: one option shows the solution obtained by applying Base-9 rules instead.","{""A"": 0, ""B"": 1, ""C"": 2, ""D"": 7, ""E"": 8, ""F"": 9}","{""A"": 0, ""B"": 7, ""C"": 2, ""D"": 1, ""E"": 8, ""F"": 9}","{""A"": 0, ""B"": 1, ""C"": 9, ""D"": 7, ""E"": 8, ""F"": 2}","{""A"": 0, ""B"": 1, ""C"": 2, ""D"": 6, ""E"": 7, ""F"": 8}",A,"{""A"": 0, ""B"": 1, ""C"": 2, ""D"": 7, ""E"": 8, ""F"": 9}","{""base"": 10, ""num_letters"": 6, ""equation"": ""FECB + CDE = BAAFF"", ""has_base9_distractor"": true}"
cryptarithmetic_baseline_0010,cryptarithmetic_baseline,baseline,GEE + HDGD = BACCF,"Solve the following cryptarithmetic puzzle using standard arithmetic (Base 10).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}.
  - Each letter represents a unique digit.
  - No multi-letter word may begin with 0.
  - Addition carries when a column sum reaches 10 (standard rule).
  - Subtraction borrows by adding 10 to the current digit (standard rule).

Equation:  GEE + HDGD = BACCF

Which of the following letter-to-digit assignments is the correct solution?
Note: one option shows the solution obtained by applying Base-9 rules instead.","{""A"": 0, ""B"": 3, ""C"": 2, ""D"": 1, ""E"": 4, ""F"": 7, ""G"": 8, ""H"": 9}","{""A"": 4, ""B"": 1, ""C"": 2, ""D"": 3, ""E"": 0, ""F"": 7, ""G"": 8, ""H"": 9}","{""A"": 0, ""B"": 1, ""C"": 2, ""D"": 3, ""E"": 4, ""F"": 7, ""G"": 8, ""H"": 9}","{""A"": 3, ""B"": 1, ""C"": 2, ""D"": 0, ""E"": 4, ""F"": 7, ""G"": 8, ""H"": 9}",C,"{""A"": 0, ""B"": 1, ""C"": 2, ""D"": 3, ""E"": 4, ""F"": 7, ""G"": 8, ""H"": 9}","{""base"": 10, ""num_letters"": 8, ""equation"": ""GEE + HDGD = BACCF"", ""has_base9_distractor"": false}"
