id,rule,state,puzzle,question,option_A,option_B,option_C,option_D,correct_option,correct_answer,params
cryptarithmetic_cf3_base9_mixed_0001,cryptarithmetic_cf3_base9_mixed,counterfactual,GDDG + GAA - EC = BACGF,"Solve the following chained cryptarithmetic puzzle in Base 9 (Nonary arithmetic).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8}.  The digit 9 does not exist.
  - Each letter represents a unique digit from this set.
  - No multi-letter word may begin with 0.
  - Carrying occurs when a column sum reaches 9 (the 'Carry 9' rule).
  - Borrowing adds 9 to the current digit (the 'Add 9' rule).
  - Both rules may interact within the same column chain: track carries and borrows simultaneously.

Equation:  GDDG + GAA - EC = BACGF

Provide the unique letter-to-digit assignment as a JSON object.",,,,,,"{""A"": 0, ""B"": 1, ""C"": 2, ""D"": 4, ""E"": 5, ""F"": 6, ""G"": 8}","{""base"": 9, ""num_letters"": 7, ""equation"": ""GDDG + GAA - EC = BACGF"", ""eval_mode"": ""open_native_base9""}"
cryptarithmetic_cf3_base9_mixed_0002,cryptarithmetic_cf3_base9_mixed,counterfactual,IHBD + HCD - FA = BAEHG,"Solve the following chained cryptarithmetic puzzle in Base 9 (Nonary arithmetic).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8}.  The digit 9 does not exist.
  - Each letter represents a unique digit from this set.
  - No multi-letter word may begin with 0.
  - Carrying occurs when a column sum reaches 9 (the 'Carry 9' rule).
  - Borrowing adds 9 to the current digit (the 'Add 9' rule).
  - Both rules may interact within the same column chain: track carries and borrows simultaneously.

Equation:  IHBD + HCD - FA = BAEHG

Provide the unique letter-to-digit assignment as a JSON object.",,,,,,"{""A"": 0, ""B"": 1, ""C"": 2, ""D"": 3, ""E"": 4, ""F"": 5, ""G"": 6, ""H"": 7, ""I"": 8}","{""base"": 9, ""num_letters"": 9, ""equation"": ""IHBD + HCD - FA = BAEHG"", ""eval_mode"": ""open_native_base9""}"
cryptarithmetic_cf3_base9_mixed_0003,cryptarithmetic_cf3_base9_mixed,counterfactual,GGBD + DDB - BGF = BACEG,"Solve the following chained cryptarithmetic puzzle in Base 9 (Nonary arithmetic).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8}.  The digit 9 does not exist.
  - Each letter represents a unique digit from this set.
  - No multi-letter word may begin with 0.
  - Carrying occurs when a column sum reaches 9 (the 'Carry 9' rule).
  - Borrowing adds 9 to the current digit (the 'Add 9' rule).
  - Both rules may interact within the same column chain: track carries and borrows simultaneously.

Equation:  GGBD + DDB - BGF = BACEG

Provide the unique letter-to-digit assignment as a JSON object.",,,,,,"{""A"": 0, ""B"": 1, ""C"": 2, ""D"": 5, ""E"": 6, ""F"": 7, ""G"": 8}","{""base"": 9, ""num_letters"": 7, ""equation"": ""GGBD + DDB - BGF = BACEG"", ""eval_mode"": ""open_native_base9""}"
cryptarithmetic_cf3_base9_mixed_0004,cryptarithmetic_cf3_base9_mixed,counterfactual,IFEC + HHE - FG = BADGA,"Solve the following chained cryptarithmetic puzzle in Base 9 (Nonary arithmetic).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8}.  The digit 9 does not exist.
  - Each letter represents a unique digit from this set.
  - No multi-letter word may begin with 0.
  - Carrying occurs when a column sum reaches 9 (the 'Carry 9' rule).
  - Borrowing adds 9 to the current digit (the 'Add 9' rule).
  - Both rules may interact within the same column chain: track carries and borrows simultaneously.

Equation:  IFEC + HHE - FG = BADGA

Provide the unique letter-to-digit assignment as a JSON object.",,,,,,"{""A"": 0, ""B"": 1, ""C"": 2, ""D"": 3, ""E"": 4, ""F"": 5, ""G"": 6, ""H"": 7, ""I"": 8}","{""base"": 9, ""num_letters"": 9, ""equation"": ""IFEC + HHE - FG = BADGA"", ""eval_mode"": ""open_native_base9""}"
cryptarithmetic_cf3_base9_mixed_0005,cryptarithmetic_cf3_base9_mixed,counterfactual,GGFE + GCA - DDF = BAEDG,"Solve the following chained cryptarithmetic puzzle in Base 9 (Nonary arithmetic).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8}.  The digit 9 does not exist.
  - Each letter represents a unique digit from this set.
  - No multi-letter word may begin with 0.
  - Carrying occurs when a column sum reaches 9 (the 'Carry 9' rule).
  - Borrowing adds 9 to the current digit (the 'Add 9' rule).
  - Both rules may interact within the same column chain: track carries and borrows simultaneously.

Equation:  GGFE + GCA - DDF = BAEDG

Provide the unique letter-to-digit assignment as a JSON object.",,,,,,"{""A"": 0, ""B"": 1, ""C"": 2, ""D"": 3, ""E"": 4, ""F"": 5, ""G"": 8}","{""base"": 9, ""num_letters"": 7, ""equation"": ""GGFE + GCA - DDF = BAEDG"", ""eval_mode"": ""open_native_base9""}"
cryptarithmetic_cf3_base9_mixed_0006,cryptarithmetic_cf3_base9_mixed,counterfactual,CDDC + GFCF - GE = BCAGD,"Solve the following chained cryptarithmetic puzzle in Base 9 (Nonary arithmetic).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8}.  The digit 9 does not exist.
  - Each letter represents a unique digit from this set.
  - No multi-letter word may begin with 0.
  - Carrying occurs when a column sum reaches 9 (the 'Carry 9' rule).
  - Borrowing adds 9 to the current digit (the 'Add 9' rule).
  - Both rules may interact within the same column chain: track carries and borrows simultaneously.

Equation:  CDDC + GFCF - GE = BCAGD

Provide the unique letter-to-digit assignment as a JSON object.",,,,,,"{""A"": 0, ""B"": 1, ""C"": 3, ""D"": 4, ""E"": 5, ""F"": 6, ""G"": 8}","{""base"": 9, ""num_letters"": 7, ""equation"": ""CDDC + GFCF - GE = BCAGD"", ""eval_mode"": ""open_native_base9""}"
cryptarithmetic_cf3_base9_mixed_0007,cryptarithmetic_cf3_base9_mixed,counterfactual,GFCF + GGE - BBA = BAEBD,"Solve the following chained cryptarithmetic puzzle in Base 9 (Nonary arithmetic).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8}.  The digit 9 does not exist.
  - Each letter represents a unique digit from this set.
  - No multi-letter word may begin with 0.
  - Carrying occurs when a column sum reaches 9 (the 'Carry 9' rule).
  - Borrowing adds 9 to the current digit (the 'Add 9' rule).
  - Both rules may interact within the same column chain: track carries and borrows simultaneously.

Equation:  GFCF + GGE - BBA = BAEBD

Provide the unique letter-to-digit assignment as a JSON object.",,,,,,"{""A"": 0, ""B"": 1, ""C"": 2, ""D"": 4, ""E"": 6, ""F"": 7, ""G"": 8}","{""base"": 9, ""num_letters"": 7, ""equation"": ""GFCF + GGE - BBA = BAEBD"", ""eval_mode"": ""open_native_base9""}"
cryptarithmetic_cf3_base9_mixed_0008,cryptarithmetic_cf3_base9_mixed,counterfactual,EDCA + HGHE - HG = BEBBF,"Solve the following chained cryptarithmetic puzzle in Base 9 (Nonary arithmetic).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8}.  The digit 9 does not exist.
  - Each letter represents a unique digit from this set.
  - No multi-letter word may begin with 0.
  - Carrying occurs when a column sum reaches 9 (the 'Carry 9' rule).
  - Borrowing adds 9 to the current digit (the 'Add 9' rule).
  - Both rules may interact within the same column chain: track carries and borrows simultaneously.

Equation:  EDCA + HGHE - HG = BEBBF

Provide the unique letter-to-digit assignment as a JSON object.",,,,,,"{""A"": 0, ""B"": 1, ""C"": 2, ""D"": 3, ""E"": 4, ""F"": 6, ""G"": 7, ""H"": 8}","{""base"": 9, ""num_letters"": 8, ""equation"": ""EDCA + HGHE - HG = BEBBF"", ""eval_mode"": ""open_native_base9""}"
cryptarithmetic_cf3_base9_mixed_0009,cryptarithmetic_cf3_base9_mixed,counterfactual,GEDE + GABD - CG = AEFCB,"Solve the following chained cryptarithmetic puzzle in Base 9 (Nonary arithmetic).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8}.  The digit 9 does not exist.
  - Each letter represents a unique digit from this set.
  - No multi-letter word may begin with 0.
  - Carrying occurs when a column sum reaches 9 (the 'Carry 9' rule).
  - Borrowing adds 9 to the current digit (the 'Add 9' rule).
  - Both rules may interact within the same column chain: track carries and borrows simultaneously.

Equation:  GEDE + GABD - CG = AEFCB

Provide the unique letter-to-digit assignment as a JSON object.",,,,,,"{""A"": 1, ""B"": 2, ""C"": 3, ""D"": 4, ""E"": 5, ""F"": 6, ""G"": 7}","{""base"": 9, ""num_letters"": 7, ""equation"": ""GEDE + GABD - CG = AEFCB"", ""eval_mode"": ""open_native_base9""}"
cryptarithmetic_cf3_base9_mixed_0010,cryptarithmetic_cf3_base9_mixed,counterfactual,GECE + FAD - FF = BACDC,"Solve the following chained cryptarithmetic puzzle in Base 9 (Nonary arithmetic).
Rules:
  - Valid digits: {0, 1, 2, 3, 4, 5, 6, 7, 8}.  The digit 9 does not exist.
  - Each letter represents a unique digit from this set.
  - No multi-letter word may begin with 0.
  - Carrying occurs when a column sum reaches 9 (the 'Carry 9' rule).
  - Borrowing adds 9 to the current digit (the 'Add 9' rule).
  - Both rules may interact within the same column chain: track carries and borrows simultaneously.

Equation:  GECE + FAD - FF = BACDC

Provide the unique letter-to-digit assignment as a JSON object.",,,,,,"{""A"": 0, ""B"": 1, ""C"": 2, ""D"": 4, ""E"": 5, ""F"": 7, ""G"": 8}","{""base"": 9, ""num_letters"": 7, ""equation"": ""GECE + FAD - FF = BACDC"", ""eval_mode"": ""open_native_base9""}"
