id,rule,state,puzzle,question,correct_answer,params
game24_cf1_base9_0001,game24_cf1_base9,counterfactual,"{""numbers_base9"": [""8"", ""17"", ""35"", ""37""], ""numbers_decimal"": [8, 16, 32, 34], ""target_decimal"": 24, ""target_base9"": ""26""}","Solve the following Game-of-24 puzzle.
Rule change: every numeral in this problem — the four given operands, the target, and every literal in your answer — is written in **base 9** (digits 0-8 only).
  - Read each given numeral as a base-9 integer (e.g. '17' means 1·9 + 7 = decimal 16; '26' means 2·9 + 6 = decimal 24).
  - Combine the four operands with +, −, ×, ÷ and parentheses, using each operand exactly once, to reach the target.
  - Your answer expression must use base-9 literals; it will be evaluated as base-9 arithmetic.
  - Every intermediate division must yield an exact integer.
  - The target written in base 9 is '26' (= 24 in decimal).

Numbers (base 9): 8, 17, 35, 37
Target (base 9): 26

Produce a single parenthesized arithmetic expression in base-9 numerals that uses each operand exactly once and reaches the target.",((37 − 8) − (35 ÷ 17)),"{""numbers_decimal"": [8, 16, 32, 34], ""numbers_base9"": [""8"", ""17"", ""35"", ""37""], ""target_decimal"": 24, ""target_base9"": ""26"", ""eval_mode"": ""open_native_base9""}"
game24_cf1_base9_0002,game24_cf1_base9,counterfactual,"{""numbers_base9"": [""88"", ""44"", ""5"", ""27""], ""numbers_decimal"": [80, 40, 5, 25], ""target_decimal"": 24, ""target_base9"": ""26""}","Solve the following Game-of-24 puzzle.
Rule change: every numeral in this problem — the four given operands, the target, and every literal in your answer — is written in **base 9** (digits 0-8 only).
  - Read each given numeral as a base-9 integer (e.g. '17' means 1·9 + 7 = decimal 16; '26' means 2·9 + 6 = decimal 24).
  - Combine the four operands with +, −, ×, ÷ and parentheses, using each operand exactly once, to reach the target.
  - Your answer expression must use base-9 literals; it will be evaluated as base-9 arithmetic.
  - Every intermediate division must yield an exact integer.
  - The target written in base 9 is '26' (= 24 in decimal).

Numbers (base 9): 88, 44, 5, 27
Target (base 9): 26

Produce a single parenthesized arithmetic expression in base-9 numerals that uses each operand exactly once and reaches the target.",((88 + 44) ÷ (27 ÷ 5)),"{""numbers_decimal"": [80, 40, 5, 25], ""numbers_base9"": [""88"", ""44"", ""5"", ""27""], ""target_decimal"": 24, ""target_base9"": ""26"", ""eval_mode"": ""open_native_base9""}"
game24_cf1_base9_0003,game24_cf1_base9,counterfactual,"{""numbers_base9"": [""35"", ""53"", ""20"", ""17""], ""numbers_decimal"": [32, 48, 18, 16], ""target_decimal"": 24, ""target_base9"": ""26""}","Solve the following Game-of-24 puzzle.
Rule change: every numeral in this problem — the four given operands, the target, and every literal in your answer — is written in **base 9** (digits 0-8 only).
  - Read each given numeral as a base-9 integer (e.g. '17' means 1·9 + 7 = decimal 16; '26' means 2·9 + 6 = decimal 24).
  - Combine the four operands with +, −, ×, ÷ and parentheses, using each operand exactly once, to reach the target.
  - Your answer expression must use base-9 literals; it will be evaluated as base-9 arithmetic.
  - Every intermediate division must yield an exact integer.
  - The target written in base 9 is '26' (= 24 in decimal).

Numbers (base 9): 35, 53, 20, 17
Target (base 9): 26

Produce a single parenthesized arithmetic expression in base-9 numerals that uses each operand exactly once and reaches the target.",(53 ÷ (17 − (35 − 20))),"{""numbers_decimal"": [32, 48, 18, 16], ""numbers_base9"": [""35"", ""53"", ""20"", ""17""], ""target_decimal"": 24, ""target_base9"": ""26"", ""eval_mode"": ""open_native_base9""}"
game24_cf1_base9_0004,game24_cf1_base9,counterfactual,"{""numbers_base9"": [""14"", ""11"", ""37"", ""46""], ""numbers_decimal"": [13, 10, 34, 42], ""target_decimal"": 24, ""target_base9"": ""26""}","Solve the following Game-of-24 puzzle.
Rule change: every numeral in this problem — the four given operands, the target, and every literal in your answer — is written in **base 9** (digits 0-8 only).
  - Read each given numeral as a base-9 integer (e.g. '17' means 1·9 + 7 = decimal 16; '26' means 2·9 + 6 = decimal 24).
  - Combine the four operands with +, −, ×, ÷ and parentheses, using each operand exactly once, to reach the target.
  - Your answer expression must use base-9 literals; it will be evaluated as base-9 arithmetic.
  - Every intermediate division must yield an exact integer.
  - The target written in base 9 is '26' (= 24 in decimal).

Numbers (base 9): 14, 11, 37, 46
Target (base 9): 26

Produce a single parenthesized arithmetic expression in base-9 numerals that uses each operand exactly once and reaches the target.",((14 − 11) × (46 − 37)),"{""numbers_decimal"": [13, 10, 34, 42], ""numbers_base9"": [""14"", ""11"", ""37"", ""46""], ""target_decimal"": 24, ""target_base9"": ""26"", ""eval_mode"": ""open_native_base9""}"
game24_cf1_base9_0005,game24_cf1_base9,counterfactual,"{""numbers_base9"": [""43"", ""14"", ""35"", ""85""], ""numbers_decimal"": [39, 13, 32, 77], ""target_decimal"": 24, ""target_base9"": ""26""}","Solve the following Game-of-24 puzzle.
Rule change: every numeral in this problem — the four given operands, the target, and every literal in your answer — is written in **base 9** (digits 0-8 only).
  - Read each given numeral as a base-9 integer (e.g. '17' means 1·9 + 7 = decimal 16; '26' means 2·9 + 6 = decimal 24).
  - Combine the four operands with +, −, ×, ÷ and parentheses, using each operand exactly once, to reach the target.
  - Your answer expression must use base-9 literals; it will be evaluated as base-9 arithmetic.
  - Every intermediate division must yield an exact integer.
  - The target written in base 9 is '26' (= 24 in decimal).

Numbers (base 9): 43, 14, 35, 85
Target (base 9): 26

Produce a single parenthesized arithmetic expression in base-9 numerals that uses each operand exactly once and reaches the target.",(14 + (85 ÷ (43 − 35))),"{""numbers_decimal"": [39, 13, 32, 77], ""numbers_base9"": [""43"", ""14"", ""35"", ""85""], ""target_decimal"": 24, ""target_base9"": ""26"", ""eval_mode"": ""open_native_base9""}"
game24_cf1_base9_0006,game24_cf1_base9,counterfactual,"{""numbers_base9"": [""70"", ""25"", ""42"", ""24""], ""numbers_decimal"": [63, 23, 38, 22], ""target_decimal"": 24, ""target_base9"": ""26""}","Solve the following Game-of-24 puzzle.
Rule change: every numeral in this problem — the four given operands, the target, and every literal in your answer — is written in **base 9** (digits 0-8 only).
  - Read each given numeral as a base-9 integer (e.g. '17' means 1·9 + 7 = decimal 16; '26' means 2·9 + 6 = decimal 24).
  - Combine the four operands with +, −, ×, ÷ and parentheses, using each operand exactly once, to reach the target.
  - Your answer expression must use base-9 literals; it will be evaluated as base-9 arithmetic.
  - Every intermediate division must yield an exact integer.
  - The target written in base 9 is '26' (= 24 in decimal).

Numbers (base 9): 70, 25, 42, 24
Target (base 9): 26

Produce a single parenthesized arithmetic expression in base-9 numerals that uses each operand exactly once and reaches the target.",((70 − 25) − (42 − 24)),"{""numbers_decimal"": [63, 23, 38, 22], ""numbers_base9"": [""70"", ""25"", ""42"", ""24""], ""target_decimal"": 24, ""target_base9"": ""26"", ""eval_mode"": ""open_native_base9""}"
game24_cf1_base9_0007,game24_cf1_base9,counterfactual,"{""numbers_base9"": [""76"", ""20"", ""47"", ""76""], ""numbers_decimal"": [69, 18, 43, 69], ""target_decimal"": 24, ""target_base9"": ""26""}","Solve the following Game-of-24 puzzle.
Rule change: every numeral in this problem — the four given operands, the target, and every literal in your answer — is written in **base 9** (digits 0-8 only).
  - Read each given numeral as a base-9 integer (e.g. '17' means 1·9 + 7 = decimal 16; '26' means 2·9 + 6 = decimal 24).
  - Combine the four operands with +, −, ×, ÷ and parentheses, using each operand exactly once, to reach the target.
  - Your answer expression must use base-9 literals; it will be evaluated as base-9 arithmetic.
  - Every intermediate division must yield an exact integer.
  - The target written in base 9 is '26' (= 24 in decimal).

Numbers (base 9): 76, 20, 47, 76
Target (base 9): 26

Produce a single parenthesized arithmetic expression in base-9 numerals that uses each operand exactly once and reaches the target.",((47 − 20) − (76 ÷ 76)),"{""numbers_decimal"": [69, 18, 43, 69], ""numbers_base9"": [""76"", ""20"", ""47"", ""76""], ""target_decimal"": 24, ""target_base9"": ""26"", ""eval_mode"": ""open_native_base9""}"
game24_cf1_base9_0008,game24_cf1_base9,counterfactual,"{""numbers_base9"": [""13"", ""37"", ""14"", ""10""], ""numbers_decimal"": [12, 34, 13, 9], ""target_decimal"": 24, ""target_base9"": ""26""}","Solve the following Game-of-24 puzzle.
Rule change: every numeral in this problem — the four given operands, the target, and every literal in your answer — is written in **base 9** (digits 0-8 only).
  - Read each given numeral as a base-9 integer (e.g. '17' means 1·9 + 7 = decimal 16; '26' means 2·9 + 6 = decimal 24).
  - Combine the four operands with +, −, ×, ÷ and parentheses, using each operand exactly once, to reach the target.
  - Your answer expression must use base-9 literals; it will be evaluated as base-9 arithmetic.
  - Every intermediate division must yield an exact integer.
  - The target written in base 9 is '26' (= 24 in decimal).

Numbers (base 9): 13, 37, 14, 10
Target (base 9): 26

Produce a single parenthesized arithmetic expression in base-9 numerals that uses each operand exactly once and reaches the target.",((13 + 37) − (14 + 10)),"{""numbers_decimal"": [12, 34, 13, 9], ""numbers_base9"": [""13"", ""37"", ""14"", ""10""], ""target_decimal"": 24, ""target_base9"": ""26"", ""eval_mode"": ""open_native_base9""}"
game24_cf1_base9_0009,game24_cf1_base9,counterfactual,"{""numbers_base9"": [""23"", ""86"", ""86"", ""72""], ""numbers_decimal"": [21, 78, 78, 65], ""target_decimal"": 24, ""target_base9"": ""26""}","Solve the following Game-of-24 puzzle.
Rule change: every numeral in this problem — the four given operands, the target, and every literal in your answer — is written in **base 9** (digits 0-8 only).
  - Read each given numeral as a base-9 integer (e.g. '17' means 1·9 + 7 = decimal 16; '26' means 2·9 + 6 = decimal 24).
  - Combine the four operands with +, −, ×, ÷ and parentheses, using each operand exactly once, to reach the target.
  - Your answer expression must use base-9 literals; it will be evaluated as base-9 arithmetic.
  - Every intermediate division must yield an exact integer.
  - The target written in base 9 is '26' (= 24 in decimal).

Numbers (base 9): 23, 86, 86, 72
Target (base 9): 26

Produce a single parenthesized arithmetic expression in base-9 numerals that uses each operand exactly once and reaches the target.",(((23 × 86) − 86) ÷ 72),"{""numbers_decimal"": [21, 78, 78, 65], ""numbers_base9"": [""23"", ""86"", ""86"", ""72""], ""target_decimal"": 24, ""target_base9"": ""26"", ""eval_mode"": ""open_native_base9""}"
game24_cf1_base9_0010,game24_cf1_base9,counterfactual,"{""numbers_base9"": [""18"", ""18"", ""66"", ""55""], ""numbers_decimal"": [17, 17, 60, 50], ""target_decimal"": 24, ""target_base9"": ""26""}","Solve the following Game-of-24 puzzle.
Rule change: every numeral in this problem — the four given operands, the target, and every literal in your answer — is written in **base 9** (digits 0-8 only).
  - Read each given numeral as a base-9 integer (e.g. '17' means 1·9 + 7 = decimal 16; '26' means 2·9 + 6 = decimal 24).
  - Combine the four operands with +, −, ×, ÷ and parentheses, using each operand exactly once, to reach the target.
  - Your answer expression must use base-9 literals; it will be evaluated as base-9 arithmetic.
  - Every intermediate division must yield an exact integer.
  - The target written in base 9 is '26' (= 24 in decimal).

Numbers (base 9): 18, 18, 66, 55
Target (base 9): 26

Produce a single parenthesized arithmetic expression in base-9 numerals that uses each operand exactly once and reaches the target.",((18 + 18) − (66 − 55)),"{""numbers_decimal"": [17, 17, 60, 50], ""numbers_base9"": [""18"", ""18"", ""66"", ""55""], ""target_decimal"": 24, ""target_base9"": ""26"", ""eval_mode"": ""open_native_base9""}"
game24_cf1_base9_0011,game24_cf1_base9,counterfactual,"{""numbers_base9"": [""12"", ""82"", ""6"", ""17""], ""numbers_decimal"": [11, 74, 6, 16], ""target_decimal"": 24, ""target_base9"": ""26""}","Solve the following Game-of-24 puzzle.
Rule change: every numeral in this problem — the four given operands, the target, and every literal in your answer — is written in **base 9** (digits 0-8 only).
  - Read each given numeral as a base-9 integer (e.g. '17' means 1·9 + 7 = decimal 16; '26' means 2·9 + 6 = decimal 24).
  - Combine the four operands with +, −, ×, ÷ and parentheses, using each operand exactly once, to reach the target.
  - Your answer expression must use base-9 literals; it will be evaluated as base-9 arithmetic.
  - Every intermediate division must yield an exact integer.
  - The target written in base 9 is '26' (= 24 in decimal).

Numbers (base 9): 12, 82, 6, 17
Target (base 9): 26

Produce a single parenthesized arithmetic expression in base-9 numerals that uses each operand exactly once and reaches the target.",((82 + 17) − (12 × 6)),"{""numbers_decimal"": [11, 74, 6, 16], ""numbers_base9"": [""12"", ""82"", ""6"", ""17""], ""target_decimal"": 24, ""target_base9"": ""26"", ""eval_mode"": ""open_native_base9""}"
